split,user_id,language,support_n,query_n
val,61575017759285,en,13,6
val,61575257675809,en,11,5
val,61575730823474,it,9,5
val,61574811489884,en,15,8
val,61575183774467,it,13,7
val,61575496414111,pt,9,5
val,61573712511017,pt,14,7
val,61575002477902,hi,9,4
val,61573108333376,it,7,4
val,61575005582648,en,13,7
val,61575621239139,fr,11,5
val,61575105527927,pt,11,5
val,61575179154623,it,15,8
val,61575413429579,hi,9,4
val,61575172671299,en,15,7
val,61574975464357,en,11,6
val,61575209724467,it,8,4
val,61573395394803,pt,14,7
val,61572907778982,fr,13,6
val,61574794544279,it,11,5
val,61575223102368,fr,10,5
val,61575264034178,hi,17,9
val,61574713663955,en,20,10
val,61573535549602,it,11,6
val,61575192170378,en,15,8
val,61575765602949,it,9,5
val,61572954786814,pt,11,5
val,61575164786639,fr,13,6
val,61575104893354,it,12,6
val,61575037923063,en,13,6
val,61575619289287,hi,7,3
val,61575033991993,it,7,3
val,61575154509778,hi,9,4
val,61575562855407,hi,20,10
val,61574087694242,en,13,7
val,61574024547460,it,11,5
val,61574946005614,en,14,7
val,61575146036382,pt,15,7
val,61575601911978,hi,7,4
val,61575126328545,pt,12,6
val,61575305648078,it,7,3
val,61575285909107,it,12,6
val,61575923485787,en,17,8
val,61574775824444,en,13,6
val,61575214852696,pt,11,5
val,61575905006200,it,14,7
val,61575686125649,en,15,7
val,61575098818802,pt,13,6
val,61575191863415,hi,9,4
val,61575147567358,fr,27,14
val,61573519258936,hi,11,5
val,61574884506218,en,7,3
val,61573167969034,fr,9,5
val,61575596766424,pt,8,4
val,61575151995924,hi,10,5
val,61573678732836,fr,10,5
val,61575870478320,en,9,4
val,61575179444503,it,14,7
val,61575262144291,pt,11,5
val,61575115637534,pt,13,7
val,61575236645717,hi,10,5
val,61572931087920,fr,11,6
val,61574802793931,pt,7,4
val,61575609593809,hi,8,4
val,61575061680510,it,7,3
val,61575011999356,en,14,7
val,61573026166194,fr,11,5
val,61575533036716,hi,8,4
val,61575724823817,fr,9,4
val,61575397109457,hi,10,5
val,61575676796256,hi,10,5
val,61575152187335,pt,7,4
val,61575132716094,en,14,7
val,61574712167927,en,13,7
val,61575738713155,it,11,5
val,61574949276269,fr,9,5
val,61574688555170,en,17,8
val,61575576330602,pt,9,5
val,61574835491851,it,15,7
val,61575728753782,en,13,6
val,61572985534941,pt,8,4
val,61575096445152,en,10,5
val,61575230391948,pt,9,5
val,61573450021139,fr,11,6
val,61573437931596,en,12,6
val,61575101309770,fr,9,4
val,61575759538891,pt,7,3
val,61575631438414,pt,7,4
val,61574820492941,pt,14,7
val,61575642154332,it,6,3
val,61575224736246,en,17,8
val,61575717804104,en,14,7
val,61575728765062,hi,9,5
val,61575424295278,pt,7,3
val,61575769203176,hi,11,6
val,61575217242530,it,9,5
val,61575494398591,hi,7,3
val,61575169856226,fr,13,7
val,61574891529296,fr,7,4
val,61575394229554,en,10,5
val,61575251410667,en,11,5
val,61575115607446,en,13,7
val,61575285903180,hi,9,4
val,61574791274667,pt,11,5
val,61575131350840,hi,10,5
val,61575674762828,pt,8,4
val,61575371015595,it,7,4
val,61575240712764,fr,11,6
val,61573112278516,fr,13,6
val,61575039781543,pt,10,5
val,61575629889393,it,9,5
val,61575421301471,pt,10,5
val,61575271516188,pt,6,3
val,61574772375215,fr,12,6
val,61575171008851,hi,7,4
val,61574774205222,fr,10,5
val,61575161685429,pt,9,4
val,61575131566595,en,12,6
val,61575649491662,hi,9,5
val,61575548018214,pt,7,4
val,61575031771268,fr,12,6
val,61575327722596,fr,9,5
val,61574924644086,en,13,7
val,61574874791318,it,7,4
val,61575719454096,en,14,7
val,61574733766948,fr,11,6
val,61575508270361,pt,10,5
val,61575631599627,it,11,5
val,61572643031348,pt,9,5
val,61575701900305,en,12,6
val,61573071750653,fr,12,6
val,61575810506515,it,9,5
val,61575139726547,it,8,4
val,61575695695222,en,6,3
val,61574769614945,en,7,3
val,61575248771116,en,13,7
val,61575382295615,it,11,5
val,61575593514192,hi,7,4
test,61575131153481,en,27,14
test,61573011363724,en,13,6
test,61574801413926,fr,12,6
test,61575146115727,en,14,7
test,61575315757634,fr,15,8
test,61574845812864,hi,6,3
test,61575518103435,en,10,5
test,61575281043341,en,9,4
test,61573401574373,pt,13,6
test,61573204057105,pt,11,6
test,61575123566620,en,13,7
test,61575171074787,en,13,7
test,61574928906639,en,13,7
test,61573638622824,fr,11,6
test,61574905567721,en,15,7
test,61574691705220,en,13,7
test,61575760372346,fr,11,6
test,61573620977018,it,13,7
test,61575656577386,pt,9,5
test,61575239345239,en,36,18
test,61575275643651,en,10,5
test,61575647091890,en,9,4
test,61575371045747,fr,10,5
test,61572994007723,fr,14,7
test,61574927256711,en,15,8
test,61574917839061,en,13,7
test,61575907311759,pt,11,5
test,61574754285907,fr,13,6
test,61575220452128,it,21,10
test,61574819532188,en,13,7
test,61574819052961,it,11,6
test,61575082408585,en,13,6
test,61575004409946,en,21,10
test,61575138556380,en,7,3
test,61575731423501,fr,11,6
test,61575677426201,en,15,8
test,61574853522414,it,12,6
test,61575037651046,en,13,6
test,61573361584445,fr,47,23
test,61574919187169,en,10,5
test,61575140755780,en,13,6
test,61574853131282,it,12,6
test,61575683150027,hi,10,5
test,61575975173468,hi,14,7
test,61574893839306,hi,16,8
test,61575542078870,pt,9,5
test,61575284104535,en,13,6
test,61574908928372,pt,13,7
test,61575614841893,hi,10,5
test,61574953115083,en,13,7
test,61575153357056,it,9,4
test,61575003543784,it,13,7
test,61575829405493,it,11,6
test,61575043892770,it,7,4
test,61575626398602,en,14,7
test,61574710487320,en,12,6
test,61574865220091,en,55,27
test,61575838795093,pt,19,10
test,61573111393018,en,15,8
test,61575657657480,en,14,7
test,61575559741449,en,15,7
test,61575101398524,en,13,6
test,61574709227973,pt,13,7
test,61573815667956,it,12,6
test,61575022726666,en,9,5
test,61573544637558,fr,11,5
test,61573135240533,fr,14,7
test,61572683111520,fr,14,7
test,61574936286895,it,11,5
test,61575302234656,pt,12,6
test,61571086213998,it,12,6
test,61575147357302,it,11,6
test,61575031995934,hi,9,5
test,61574787645954,it,11,6
test,61574987614491,en,13,7
test,61575425519121,en,11,5
test,61575003004721,fr,9,5
test,61575288482739,en,14,7
test,61575849144462,it,13,7
test,61575781048206,pt,9,4
test,61575617813432,en,13,6
test,61575280113437,it,11,5
test,61574863692089,it,10,5
test,61575140786572,en,14,7
test,61575044985283,hi,12,6
test,61575910161531,pt,27,13
test,61575205357133,hi,20,10
test,61574817372804,pt,8,4
test,61573104929262,pt,15,8
test,61574727227287,en,14,7
test,61575194437497,hi,7,4
test,61574967965313,pt,11,5
test,61575497680533,pt,9,5
test,61575138623198,en,13,7
test,61574925813885,en,14,7
test,61573015803295,pt,34,16
test,61575247115078,en,9,5
test,61575732154813,en,12,6
test,61575758698921,pt,9,5
test,61575551011743,en,14,7
test,61574965232024,en,15,7
test,61575001503649,en,14,7
test,61573139860340,en,13,7
test,61574942166735,pt,11,6
test,61575100558562,pt,12,6
test,61575759112312,hi,27,14
test,61574710427546,hi,19,10
test,61575035761920,it,11,6
test,61575694070867,pt,12,6
test,61572731112276,fr,13,6
test,61575494134571,fr,10,5
test,61575260781729,en,12,6
test,61574716667968,en,13,6
test,61574858352338,en,15,7
test,61575026553769,en,15,7
test,61575263480275,it,9,4
test,61575293558861,en,6,3
test,61575511113557,pt,6,3
test,61575112367614,hi,13,6
test,61575098248730,pt,7,4
test,61575005447655,hi,8,4
test,61574918917633,fr,9,4
test,61572620411327,fr,10,5
test,61575893482315,pt,12,6
test,61575094075379,en,13,6
test,61573230966143,en,15,7
test,61575277190886,en,15,7
test,61574816503147,it,12,6
test,61572830323521,en,13,6
test,61575620033270,en,17,8
test,61575229661702,en,14,7
test,61575187598053,en,13,6
test,61575061077037,hi,8,4
test,61574973994241,it,13,6
test,61575527762976,en,9,5
test,61575208464247,fr,15,7
test,61574883069816,it,11,5
test,61575122184024,en,11,5
test,61575165654493,it,12,6
test,61575541172249,it,14,7
test,61575958373893,hi,9,5
test,61575221052035,hi,7,3
test,61575816656229,pt,9,5
test,61575696805191,hi,10,5
test,61572905289253,fr,13,6
test,61575707940901,pt,13,6
test,61575664880939,hi,7,3
test,61575538982232,en,10,5
test,61573175695316,en,11,6
test,61574758032506,en,19,9
test,61574855051268,fr,10,5
test,61574957915732,en,15,7
test,61574892429125,it,15,8
test,61575117911828,hi,11,6
test,61575425639207,en,14,7
test,61574914234585,en,14,7
test,61573432681814,hi,9,4
test,61575914150967,pt,13,6
test,61575069571460,fr,11,6
test,61575227652155,it,9,4
test,61575094710147,pt,11,6
test,61575320377109,en,12,6
test,61575494246952,hi,16,8
test,61575123683864,en,31,15
test,61575018269201,en,15,7
test,61575293048793,it,13,6
test,61575125349572,en,14,7
test,61575350580359,it,6,3
test,61575250157025,pt,13,6
test,61575227471920,pt,8,4
test,61575614489368,en,15,7
test,61575660381242,hi,8,4
test,61575674120473,en,12,6
test,61574757192455,en,13,7
test,61575249640975,pt,13,7
test,61574737216943,it,11,6
test,61575207653082,it,11,6
test,61574933347215,pt,15,8
test,61574730673607,hi,19,10
test,61575119906899,fr,13,6
test,61574845421715,fr,15,7
test,61575038403062,fr,12,6
test,61575058064722,en,13,6
test,61575501784018,en,13,7
test,61574761245232,en,14,7
test,61575561745423,pt,11,6
test,61575318607485,it,13,6
test,61573382044188,en,27,13
test,61575236285568,hi,24,12
test,61574865641861,it,11,5
test,61574802162827,en,14,7
test,61574921619079,fr,10,5
test,61575079453209,en,13,6
test,61575199633160,it,10,5
test,61575265353888,en,12,6
test,61575427325056,en,10,5
test,61575633442519,hi,9,4
test,61575100647735,en,14,7
test,61575803180545,fr,7,4
test,61575484211181,pt,10,5
test,61575246635176,en,14,7
test,61575123447467,fr,17,8
test,61575552835868,hi,11,5
test,61575149055819,en,11,6
test,61573044272015,fr,12,6
test,61575289802878,en,12,6
test,61572897099580,en,9,4
test,61575323256914,pt,9,4
test,61575088512942,hi,12,6
test,61572924338324,en,15,8
test,61573551358407,en,13,6
test,61574785511174,en,13,7
test,61574965654909,en,15,8
test,61575262720315,hi,9,4
test,61573579945781,fr,12,6
test,61575024602457,hi,7,4
test,61575186644114,en,17,8
test,61575779571680,en,15,7
test,61575082649503,it,12,6
test,61575259270245,hi,7,4
test,61574738537928,fr,12,6
test,61574759507518,en,7,4
test,61575971333740,en,21,10
test,61573562696534,fr,13,6
test,61574999640260,en,15,8
test,61575184850763,en,21,11
test,61575082285907,en,14,7
test,61575706164902,it,13,6
test,61575117264144,en,17,9
test,61574728307426,fr,12,6
test,61574847821385,en,15,7
test,61573682391107,fr,13,6
test,61575499452704,pt,8,4
test,61575702234870,fr,7,4
test,61573198854543,en,15,8
test,61575178135876,en,15,7
test,61575494098464,hi,12,6
test,61575128723709,en,15,8
test,61575616559379,fr,10,5
test,61575541256468,en,14,7
test,61575539882427,pt,10,5
test,61573212398163,it,10,5
test,61573129617310,hi,9,5
test,61573639284043,pt,13,6
test,61575692226475,it,9,4
test,61575016892037,en,7,3
test,61575194453909,fr,9,5
test,61575832169963,fr,14,7
test,61575167504945,hi,11,5
test,61575719040520,pt,7,4
test,61574991695405,en,13,6
test,61575052321025,fr,11,6
test,61574870231406,it,15,7
test,61575254242039,it,9,5
test,61575203023035,hi,9,5
test,61574804293779,it,13,6
test,61573489649730,en,15,8
test,61575206593229,fr,7,3
test,61575063781469,hi,7,4
test,61575085318694,en,13,7
test,61575142102852,hi,9,4
test,61575099568667,pt,6,3
test,61575562681015,hi,11,5
test,61575574860669,pt,23,11
test,61575178604610,fr,11,6
test,61573423472399,pt,11,5
test,61575095755348,en,22,11
test,61575150555733,en,15,8
test,61573144706564,en,6,3
test,61575188455354,it,15,7
test,61573033592817,fr,17,9
test,61575136765917,en,9,5
test,61575130078431,it,11,5
test,61575088470429,it,8,4
test,61575786231324,hi,23,12
test,61575575574825,pt,13,6
test,61575128956704,it,9,4
test,61573456230509,fr,14,7
test,61575787832729,en,15,7
test,61575601110141,en,12,6
test,61575194887656,en,11,6
test,61573077210264,pt,12,6
test,61575183980808,en,17,8
test,61575731093467,en,11,5
test,61572727877346,fr,13,6
test,61572773292795,fr,13,6
test,61574793433849,fr,13,7
test,61575480928585,hi,17,9
test,61575224706492,en,9,4
test,61575220913669,it,15,8
test,61575193033802,it,6,3
test,61575087119240,pt,13,6
test,61575939565143,en,9,5
test,61575185048045,hi,9,4
test,61574709377155,en,14,7
test,61573157499430,fr,15,7
test,61575163975346,en,13,7
test,61575289868659,hi,9,5
test,61574647397560,en,13,6
test,61575572010654,hi,9,5
test,61575662223420,pt,7,3
test,61574902358586,fr,10,5
test,61575117567021,pt,7,3
test,61575141087700,pt,6,3
test,61574685795214,en,8,4
test,61575019756700,pt,12,6
test,61574775586737,it,8,4
test,61574917417569,fr,9,4
test,61574911657486,en,15,8
test,61575281379125,hi,7,4
test,61575695365318,pt,7,4
test,61575134096229,hi,9,5
test,61575006754716,it,9,5
test,61575906921720,pt,11,5
test,61574959205760,pt,11,5
test,61573126917814,en,6,3
test,61575512133483,pt,7,3
test,61575791427444,pt,9,5
test,61575039871610,fr,10,5
test,61575243441350,hi,6,3
test,61575642477991,hi,9,5
test,61575552217980,pt,13,6
test,61574082594447,it,10,5
test,61574746156276,hi,7,4
test,61575187214281,it,9,4
test,61574943757668,en,6,3
test,61574884989863,fr,9,5
test,61574963792194,en,7,4
test,61575121557487,pt,8,4
test,61575695425340,en,10,5
test,61575676472631,pt,12,6
test,61574984644503,pt,9,4
