source,user_id,episodes,events
thoughttrace,user106,2,16
thoughttrace,user107,2,10
thoughttrace,user108,2,10
thoughttrace,user109,2,10
thoughttrace,user11,2,12
thoughttrace,user110,2,4
thoughttrace,user111,2,8
thoughttrace,user112,1,4
thoughttrace,user113,2,12
thoughttrace,user114,2,22
thoughttrace,user115,2,14
thoughttrace,user116,3,16
thoughttrace,user117,2,34
thoughttrace,user118,2,8
thoughttrace,user119,2,8
thoughttrace,user12,2,12
thoughttrace,user120,2,6
thoughttrace,user121,2,22
thoughttrace,user122,2,16
thoughttrace,user123,2,28
thoughttrace,user124,2,4
thoughttrace,user125,2,4
thoughttrace,user126,2,6
thoughttrace,user127,2,4
thoughttrace,user128,2,8
thoughttrace,user129,2,12
thoughttrace,user13,3,20
thoughttrace,user130,2,14
thoughttrace,user131,2,4
thoughttrace,user132,3,6
thoughttrace,user133,2,6
thoughttrace,user134,2,14
thoughttrace,user135,2,14
thoughttrace,user136,2,4
thoughttrace,user137,2,8
thoughttrace,user138,2,4
thoughttrace,user139,2,8
thoughttrace,user14,2,6
thoughttrace,user140,2,18
thoughttrace,user141,2,20
thoughttrace,user142,2,4
thoughttrace,user143,2,34
thoughttrace,user144,4,18
thoughttrace,user145,2,20
thoughttrace,user146,2,24
thoughttrace,user147,2,10
thoughttrace,user148,2,22
thoughttrace,user149,2,8
thoughttrace,user15,2,16
thoughttrace,user150,2,6
thoughttrace,user151,2,12
thoughttrace,user152,2,6
thoughttrace,user153,2,16
thoughttrace,user154,2,10
thoughttrace,user155,2,18
thoughttrace,user156,2,18
thoughttrace,user157,2,20
thoughttrace,user158,2,8
thoughttrace,user159,2,10
thoughttrace,user16,2,12
thoughttrace,user160,2,6
thoughttrace,user161,2,20
thoughttrace,user162,2,10
thoughttrace,user163,2,6
thoughttrace,user164,1,8
thoughttrace,user165,2,6
thoughttrace,user166,2,18
thoughttrace,user167,2,4
thoughttrace,user168,2,8
thoughttrace,user169,2,54
thoughttrace,user17,2,8
thoughttrace,user170,2,24
thoughttrace,user171,2,10
thoughttrace,user172,4,20
thoughttrace,user173,2,20
thoughttrace,user174,2,20
thoughttrace,user175,2,12
thoughttrace,user176,2,16
thoughttrace,user177,2,22
thoughttrace,user178,2,10
thoughttrace,user179,2,8
thoughttrace,user18,2,24
thoughttrace,user180,2,24
thoughttrace,user181,2,16
thoughttrace,user182,2,8
thoughttrace,user183,2,14
thoughttrace,user184,2,32
thoughttrace,user185,3,8
thoughttrace,user186,2,16
thoughttrace,user187,2,6
thoughttrace,user188,3,12
thoughttrace,user189,3,16
thoughttrace,user19,2,8
thoughttrace,user190,2,8
thoughttrace,user191,2,8
thoughttrace,user192,2,10
thoughttrace,user193,2,4
thoughttrace,user194,2,4
thoughttrace,user195,3,10
thoughttrace,user196,2,4
thoughttrace,user197,2,14
thoughttrace,user198,2,30
thoughttrace,user199,3,12
thoughttrace,user2,2,4
thoughttrace,user20,2,12
thoughttrace,user200,2,22
thoughttrace,user201,2,22
thoughttrace,user202,2,8
thoughttrace,user203,2,8
thoughttrace,user204,2,4
thoughttrace,user205,2,12
thoughttrace,user206,2,8
thoughttrace,user207,4,10
thoughttrace,user208,5,16
thoughttrace,user209,2,8
thoughttrace,user21,2,20
thoughttrace,user210,2,18
thoughttrace,user211,2,8
thoughttrace,user212,2,12
thoughttrace,user213,2,10
thoughttrace,user214,2,30
thoughttrace,user215,2,24
thoughttrace,user216,2,4
thoughttrace,user217,2,12
thoughttrace,user218,2,6
thoughttrace,user219,2,8
thoughttrace,user22,2,14
thoughttrace,user220,2,22
thoughttrace,user221,2,22
thoughttrace,user222,2,26
thoughttrace,user223,2,16
thoughttrace,user224,2,28
thoughttrace,user225,2,22
thoughttrace,user226,2,38
thoughttrace,user227,2,6
thoughttrace,user228,2,24
thoughttrace,user229,2,14
thoughttrace,user23,2,8
thoughttrace,user230,2,10
thoughttrace,user231,2,14
thoughttrace,user232,2,16
thoughttrace,user233,2,26
thoughttrace,user234,2,14
thoughttrace,user235,2,20
thoughttrace,user236,2,10
thoughttrace,user237,2,10
thoughttrace,user238,2,14
thoughttrace,user239,3,26
thoughttrace,user24,2,16
thoughttrace,user240,2,18
thoughttrace,user241,2,8
thoughttrace,user242,2,22
thoughttrace,user243,2,10
thoughttrace,user244,2,8
thoughttrace,user245,2,12
thoughttrace,user246,2,4
thoughttrace,user247,2,26
thoughttrace,user248,4,16
thoughttrace,user249,2,6
thoughttrace,user25,2,18
thoughttrace,user250,2,12
thoughttrace,user251,2,14
thoughttrace,user252,2,12
thoughttrace,user253,2,16
thoughttrace,user254,2,10
thoughttrace,user255,2,12
thoughttrace,user256,2,8
thoughttrace,user257,2,8
thoughttrace,user258,2,30
thoughttrace,user259,2,16
thoughttrace,user26,2,8
thoughttrace,user260,2,18
thoughttrace,user261,2,8
thoughttrace,user262,2,10
thoughttrace,user263,2,14
thoughttrace,user264,2,16
thoughttrace,user265,1,10
thoughttrace,user266,2,26
thoughttrace,user267,2,6
thoughttrace,user268,2,18
thoughttrace,user269,2,10
thoughttrace,user27,3,26
thoughttrace,user270,2,26
thoughttrace,user271,2,20
thoughttrace,user272,2,10
thoughttrace,user273,2,26
thoughttrace,user274,2,22
thoughttrace,user275,2,36
thoughttrace,user276,2,14
thoughttrace,user277,2,22
thoughttrace,user278,2,26
thoughttrace,user279,2,10
thoughttrace,user28,2,18
thoughttrace,user280,2,24
thoughttrace,user281,2,20
thoughttrace,user282,2,16
thoughttrace,user283,2,16
thoughttrace,user284,2,18
thoughttrace,user285,2,6
thoughttrace,user286,2,12
thoughttrace,user287,1,10
thoughttrace,user288,2,24
thoughttrace,user289,2,10
thoughttrace,user29,2,18
thoughttrace,user290,2,18
thoughttrace,user291,2,6
thoughttrace,user292,2,20
thoughttrace,user293,2,18
thoughttrace,user294,2,18
thoughttrace,user295,2,16
thoughttrace,user296,3,26
thoughttrace,user297,2,16
thoughttrace,user298,2,16
thoughttrace,user299,2,24
thoughttrace,user3,2,40
thoughttrace,user30,2,24
thoughttrace,user300,2,32
thoughttrace,user301,2,36
thoughttrace,user302,2,20
thoughttrace,user303,2,16
thoughttrace,user304,2,18
thoughttrace,user305,2,18
thoughttrace,user306,2,18
thoughttrace,user307,1,14
thoughttrace,user308,2,12
thoughttrace,user309,2,18
thoughttrace,user31,2,24
thoughttrace,user310,2,22
thoughttrace,user311,2,20
thoughttrace,user312,2,14
thoughttrace,user313,2,22
thoughttrace,user314,2,14
thoughttrace,user315,2,34
thoughttrace,user316,2,30
thoughttrace,user317,2,16
thoughttrace,user318,1,8
thoughttrace,user319,2,12
thoughttrace,user32,4,24
thoughttrace,user320,2,24
thoughttrace,user321,2,4
thoughttrace,user322,3,8
thoughttrace,user323,3,16
thoughttrace,user324,2,20
thoughttrace,user325,2,16
thoughttrace,user326,2,10
thoughttrace,user327,2,16
thoughttrace,user328,2,16
thoughttrace,user329,2,20
thoughttrace,user33,2,34
thoughttrace,user330,2,24
thoughttrace,user331,3,6
thoughttrace,user332,2,10
thoughttrace,user333,2,12
thoughttrace,user334,1,10
thoughttrace,user335,2,8
thoughttrace,user336,2,40
thoughttrace,user337,2,12
thoughttrace,user338,2,4
thoughttrace,user339,2,16
thoughttrace,user34,2,16
thoughttrace,user340,2,10
thoughttrace,user341,2,18
thoughttrace,user342,2,12
thoughttrace,user343,2,16
thoughttrace,user344,2,14
thoughttrace,user345,2,20
thoughttrace,user346,2,14
thoughttrace,user347,2,16
thoughttrace,user348,2,16
thoughttrace,user349,2,24
thoughttrace,user35,2,16
thoughttrace,user350,2,8
thoughttrace,user351,2,32
thoughttrace,user352,2,20
thoughttrace,user353,2,24
thoughttrace,user354,2,20
thoughttrace,user355,2,14
thoughttrace,user356,2,18
thoughttrace,user357,2,40
thoughttrace,user358,2,16
thoughttrace,user359,2,26
thoughttrace,user36,2,18
thoughttrace,user360,3,22
thoughttrace,user361,2,8
thoughttrace,user362,2,10
thoughttrace,user363,2,30
thoughttrace,user364,2,4
thoughttrace,user365,2,50
thoughttrace,user366,2,16
thoughttrace,user367,2,20
thoughttrace,user368,2,26
thoughttrace,user369,2,32
thoughttrace,user37,2,32
thoughttrace,user370,2,16
thoughttrace,user371,2,30
thoughttrace,user372,2,28
thoughttrace,user373,1,8
thoughttrace,user374,2,14
thoughttrace,user375,2,22
thoughttrace,user376,2,24
thoughttrace,user377,2,4
thoughttrace,user378,2,12
thoughttrace,user379,2,6
thoughttrace,user38,2,16
thoughttrace,user380,2,12
thoughttrace,user381,3,32
thoughttrace,user382,2,16
thoughttrace,user383,2,16
thoughttrace,user384,2,22
thoughttrace,user385,2,10
thoughttrace,user386,2,32
thoughttrace,user387,2,32
thoughttrace,user388,2,4
thoughttrace,user389,2,20
thoughttrace,user39,2,10
thoughttrace,user390,2,14
thoughttrace,user391,2,16
thoughttrace,user392,2,16
thoughttrace,user393,2,12
thoughttrace,user394,2,16
thoughttrace,user395,2,14
thoughttrace,user396,3,20
thoughttrace,user397,2,26
thoughttrace,user398,2,8
thoughttrace,user399,2,12
thoughttrace,user4,2,42
thoughttrace,user40,2,10
thoughttrace,user400,2,16
thoughttrace,user401,2,6
thoughttrace,user402,2,20
thoughttrace,user403,3,30
thoughttrace,user404,2,16
thoughttrace,user405,2,14
thoughttrace,user406,3,18
thoughttrace,user407,3,18
thoughttrace,user408,2,24
thoughttrace,user409,2,16
thoughttrace,user41,2,20
thoughttrace,user410,2,12
thoughttrace,user411,2,26
thoughttrace,user412,2,14
thoughttrace,user413,2,8
thoughttrace,user414,2,44
thoughttrace,user415,2,22
thoughttrace,user416,1,14
thoughttrace,user417,2,16
thoughttrace,user418,2,28
thoughttrace,user419,2,10
thoughttrace,user42,3,10
thoughttrace,user420,2,36
thoughttrace,user421,2,8
thoughttrace,user422,3,24
thoughttrace,user423,2,18
thoughttrace,user424,3,32
thoughttrace,user425,4,8
thoughttrace,user426,2,24
thoughttrace,user427,2,30
thoughttrace,user428,2,4
thoughttrace,user429,2,20
thoughttrace,user43,2,4
thoughttrace,user430,2,14
thoughttrace,user431,2,28
thoughttrace,user432,2,38
thoughttrace,user433,2,24
thoughttrace,user434,2,30
thoughttrace,user435,2,28
thoughttrace,user436,2,34
thoughttrace,user437,2,12
thoughttrace,user438,2,14
thoughttrace,user439,2,24
thoughttrace,user44,2,24
thoughttrace,user440,3,16
thoughttrace,user441,2,44
thoughttrace,user442,3,34
thoughttrace,user443,2,10
thoughttrace,user444,2,22
thoughttrace,user445,2,16
thoughttrace,user446,2,28
thoughttrace,user447,2,18
thoughttrace,user448,2,6
thoughttrace,user449,2,26
thoughttrace,user45,2,22
thoughttrace,user450,2,18
thoughttrace,user451,2,10
thoughttrace,user452,2,20
thoughttrace,user453,2,8
thoughttrace,user454,2,10
thoughttrace,user455,2,4
thoughttrace,user456,2,12
thoughttrace,user457,2,12
thoughttrace,user458,2,18
thoughttrace,user459,2,14
thoughttrace,user46,2,22
thoughttrace,user460,3,12
thoughttrace,user461,2,14
thoughttrace,user462,2,10
thoughttrace,user463,3,6
thoughttrace,user464,2,10
thoughttrace,user465,2,26
thoughttrace,user466,2,18
thoughttrace,user467,2,14
thoughttrace,user468,2,20
thoughttrace,user469,2,18
thoughttrace,user47,3,8
thoughttrace,user470,2,16
thoughttrace,user471,2,4
thoughttrace,user472,2,20
thoughttrace,user473,2,42
thoughttrace,user474,2,12
thoughttrace,user475,2,6
thoughttrace,user476,2,18
thoughttrace,user477,2,10
thoughttrace,user478,2,14
thoughttrace,user479,2,22
thoughttrace,user48,2,4
thoughttrace,user480,3,20
thoughttrace,user481,2,22
thoughttrace,user482,2,4
thoughttrace,user483,2,8
thoughttrace,user484,2,24
thoughttrace,user485,1,10
thoughttrace,user486,2,4
thoughttrace,user487,3,14
thoughttrace,user488,2,10
thoughttrace,user489,2,12
thoughttrace,user49,2,14
thoughttrace,user490,2,4
thoughttrace,user491,2,12
thoughttrace,user492,2,8
thoughttrace,user493,2,16
thoughttrace,user494,2,14
thoughttrace,user495,1,8
thoughttrace,user496,2,4
thoughttrace,user497,2,12
thoughttrace,user498,2,10
thoughttrace,user499,2,22
thoughttrace,user5,2,4
thoughttrace,user50,2,14
thoughttrace,user500,2,18
thoughttrace,user501,2,12
thoughttrace,user502,2,14
thoughttrace,user503,3,16
thoughttrace,user504,2,28
thoughttrace,user505,2,28
thoughttrace,user506,2,22
thoughttrace,user507,2,24
thoughttrace,user508,2,26
thoughttrace,user509,2,36
thoughttrace,user51,2,16
thoughttrace,user510,2,38
thoughttrace,user511,2,6
thoughttrace,user512,2,22
thoughttrace,user513,2,32
thoughttrace,user514,2,20
thoughttrace,user515,2,32
thoughttrace,user516,2,24
thoughttrace,user517,2,30
thoughttrace,user518,2,38
thoughttrace,user519,2,4
thoughttrace,user52,2,8
thoughttrace,user520,2,24
thoughttrace,user521,2,18
thoughttrace,user522,2,14
thoughttrace,user523,2,6
thoughttrace,user524,2,4
thoughttrace,user525,2,14
thoughttrace,user526,2,4
thoughttrace,user527,3,20
thoughttrace,user528,2,40
thoughttrace,user529,2,60
thoughttrace,user53,2,12
thoughttrace,user530,2,28
thoughttrace,user531,2,28
thoughttrace,user532,2,24
thoughttrace,user533,2,16
thoughttrace,user534,2,14
thoughttrace,user535,2,14
thoughttrace,user536,1,8
thoughttrace,user537,2,36
thoughttrace,user538,2,4
thoughttrace,user539,2,24
thoughttrace,user54,2,14
thoughttrace,user540,8,30
thoughttrace,user541,2,16
thoughttrace,user542,2,40
thoughttrace,user543,2,24
thoughttrace,user544,2,16
thoughttrace,user545,2,32
thoughttrace,user546,2,22
thoughttrace,user547,2,26
thoughttrace,user548,2,8
thoughttrace,user549,2,14
thoughttrace,user55,2,32
thoughttrace,user550,2,14
thoughttrace,user551,2,12
thoughttrace,user552,1,8
thoughttrace,user553,2,8
thoughttrace,user554,2,4
thoughttrace,user555,2,20
thoughttrace,user556,2,14
thoughttrace,user557,2,22
thoughttrace,user558,2,18
thoughttrace,user559,2,22
thoughttrace,user56,2,8
thoughttrace,user560,2,12
thoughttrace,user561,2,12
thoughttrace,user562,2,10
thoughttrace,user563,2,4
thoughttrace,user564,2,22
thoughttrace,user565,2,4
thoughttrace,user566,2,8
thoughttrace,user567,2,8
thoughttrace,user568,2,18
thoughttrace,user569,2,8
thoughttrace,user57,2,10
thoughttrace,user570,2,20
thoughttrace,user571,2,16
thoughttrace,user572,3,26
thoughttrace,user573,1,6
thoughttrace,user574,2,20
thoughttrace,user575,3,8
thoughttrace,user576,2,14
thoughttrace,user577,2,16
thoughttrace,user578,2,34
thoughttrace,user579,2,8
thoughttrace,user58,2,8
thoughttrace,user580,2,6
thoughttrace,user581,2,12
thoughttrace,user582,1,14
thoughttrace,user583,2,16
thoughttrace,user584,2,32
thoughttrace,user585,2,34
thoughttrace,user586,3,28
thoughttrace,user587,2,6
thoughttrace,user588,2,12
thoughttrace,user589,1,8
thoughttrace,user59,4,8
thoughttrace,user590,2,6
thoughttrace,user591,1,8
thoughttrace,user592,2,16
thoughttrace,user593,2,12
thoughttrace,user594,2,4
thoughttrace,user595,2,14
thoughttrace,user596,2,8
thoughttrace,user597,2,12
thoughttrace,user598,2,10
thoughttrace,user599,2,12
thoughttrace,user6,2,30
thoughttrace,user60,2,8
thoughttrace,user600,2,6
thoughttrace,user601,1,4
thoughttrace,user602,2,4
thoughttrace,user603,2,8
thoughttrace,user604,2,16
thoughttrace,user605,2,8
thoughttrace,user606,2,6
thoughttrace,user607,2,6
thoughttrace,user608,2,18
thoughttrace,user609,2,22
thoughttrace,user61,2,12
thoughttrace,user610,2,6
thoughttrace,user611,2,14
thoughttrace,user612,2,12
thoughttrace,user613,2,4
thoughttrace,user614,2,18
thoughttrace,user615,2,14
thoughttrace,user616,3,18
thoughttrace,user617,2,10
thoughttrace,user618,2,10
thoughttrace,user619,2,20
thoughttrace,user62,2,16
thoughttrace,user620,3,8
thoughttrace,user621,2,14
thoughttrace,user622,2,10
thoughttrace,user623,2,14
thoughttrace,user624,2,12
thoughttrace,user625,2,24
thoughttrace,user626,2,8
thoughttrace,user627,2,16
thoughttrace,user628,2,18
thoughttrace,user629,2,18
thoughttrace,user63,2,10
thoughttrace,user630,2,20
thoughttrace,user631,2,16
thoughttrace,user632,2,28
thoughttrace,user633,2,28
thoughttrace,user634,2,14
thoughttrace,user635,2,20
thoughttrace,user636,2,10
thoughttrace,user637,2,8
thoughttrace,user638,2,16
thoughttrace,user639,2,10
thoughttrace,user64,2,8
thoughttrace,user640,2,18
thoughttrace,user641,3,20
thoughttrace,user642,2,8
thoughttrace,user643,2,22
thoughttrace,user644,2,16
thoughttrace,user645,5,14
thoughttrace,user646,2,24
thoughttrace,user647,2,18
thoughttrace,user648,2,16
thoughttrace,user649,2,14
thoughttrace,user65,2,14
thoughttrace,user650,2,26
thoughttrace,user651,1,14
thoughttrace,user652,2,16
thoughttrace,user653,2,14
thoughttrace,user654,1,6
thoughttrace,user655,2,22
thoughttrace,user656,2,24
thoughttrace,user657,2,12
thoughttrace,user658,3,12
thoughttrace,user659,2,14
thoughttrace,user66,2,18
thoughttrace,user660,2,32
thoughttrace,user661,2,36
thoughttrace,user662,2,8
thoughttrace,user663,2,22
thoughttrace,user664,4,10
thoughttrace,user665,2,16
thoughttrace,user666,2,16
thoughttrace,user667,2,20
thoughttrace,user668,2,22
thoughttrace,user669,2,22
thoughttrace,user67,2,22
thoughttrace,user670,2,12
thoughttrace,user671,2,20
thoughttrace,user672,2,22
thoughttrace,user673,2,18
thoughttrace,user674,2,22
thoughttrace,user675,2,18
thoughttrace,user676,2,22
thoughttrace,user677,2,20
thoughttrace,user678,2,10
thoughttrace,user679,2,34
thoughttrace,user68,2,16
thoughttrace,user680,2,30
thoughttrace,user681,3,26
thoughttrace,user682,2,16
thoughttrace,user683,2,22
thoughttrace,user684,2,18
thoughttrace,user685,3,12
thoughttrace,user686,2,22
thoughttrace,user687,2,4
thoughttrace,user688,2,34
thoughttrace,user689,2,8
thoughttrace,user69,2,18
thoughttrace,user690,3,16
thoughttrace,user691,1,14
thoughttrace,user692,2,12
thoughttrace,user693,2,32
thoughttrace,user694,3,14
thoughttrace,user695,2,14
thoughttrace,user696,4,38
thoughttrace,user697,1,8
thoughttrace,user698,3,20
thoughttrace,user699,1,20
thoughttrace,user7,2,14
thoughttrace,user70,2,20
thoughttrace,user700,2,20
thoughttrace,user701,2,8
thoughttrace,user702,2,20
thoughttrace,user703,2,10
thoughttrace,user704,2,18
thoughttrace,user705,2,8
thoughttrace,user706,2,14
thoughttrace,user707,2,26
thoughttrace,user708,2,12
thoughttrace,user709,2,14
thoughttrace,user71,2,12
thoughttrace,user710,2,14
thoughttrace,user711,2,12
thoughttrace,user712,2,10
thoughttrace,user713,2,12
thoughttrace,user714,1,16
thoughttrace,user715,1,4
thoughttrace,user716,1,8
thoughttrace,user717,2,22
thoughttrace,user718,2,16
thoughttrace,user719,2,28
thoughttrace,user72,2,8
thoughttrace,user720,2,10
thoughttrace,user721,2,16
thoughttrace,user722,3,18
thoughttrace,user723,2,16
thoughttrace,user724,2,12
thoughttrace,user725,2,22
thoughttrace,user726,2,18
thoughttrace,user727,2,36
thoughttrace,user728,2,16
thoughttrace,user729,2,24
thoughttrace,user73,2,6
thoughttrace,user730,2,16
thoughttrace,user731,2,14
thoughttrace,user732,2,20
thoughttrace,user733,2,6
thoughttrace,user734,2,10
thoughttrace,user735,2,16
thoughttrace,user736,2,20
thoughttrace,user737,2,20
thoughttrace,user738,2,32
thoughttrace,user739,2,16
thoughttrace,user74,2,14
thoughttrace,user740,2,20
thoughttrace,user741,2,22
thoughttrace,user742,2,24
thoughttrace,user743,2,8
thoughttrace,user744,2,32
thoughttrace,user745,2,34
thoughttrace,user746,2,24
thoughttrace,user747,2,8
thoughttrace,user748,1,6
thoughttrace,user749,2,12
thoughttrace,user75,2,10
thoughttrace,user750,2,40
thoughttrace,user751,2,8
thoughttrace,user752,2,8
thoughttrace,user753,2,20
thoughttrace,user754,2,16
thoughttrace,user755,2,28
thoughttrace,user756,2,24
thoughttrace,user757,2,20
thoughttrace,user758,2,24
thoughttrace,user759,2,10
thoughttrace,user76,2,12
thoughttrace,user760,2,12
thoughttrace,user761,2,16
thoughttrace,user762,2,10
thoughttrace,user763,2,16
thoughttrace,user764,1,16
thoughttrace,user765,2,20
thoughttrace,user766,2,26
thoughttrace,user767,2,14
thoughttrace,user768,1,12
thoughttrace,user769,2,14
thoughttrace,user77,2,4
thoughttrace,user770,2,18
thoughttrace,user771,2,42
thoughttrace,user772,2,4
thoughttrace,user773,2,16
thoughttrace,user774,2,32
thoughttrace,user775,2,8
thoughttrace,user776,2,30
thoughttrace,user777,2,20
thoughttrace,user778,2,18
thoughttrace,user779,2,10
thoughttrace,user78,2,12
thoughttrace,user780,2,6
thoughttrace,user781,2,20
thoughttrace,user782,2,14
thoughttrace,user783,2,40
thoughttrace,user784,2,20
thoughttrace,user785,3,42
thoughttrace,user786,2,26
thoughttrace,user787,2,20
thoughttrace,user788,2,24
thoughttrace,user789,2,16
thoughttrace,user79,2,8
thoughttrace,user790,2,20
thoughttrace,user791,2,18
thoughttrace,user792,2,12
thoughttrace,user793,3,18
thoughttrace,user794,2,16
thoughttrace,user795,2,18
thoughttrace,user796,2,28
thoughttrace,user797,2,4
thoughttrace,user798,2,14
thoughttrace,user799,2,14
thoughttrace,user8,2,12
thoughttrace,user80,2,22
thoughttrace,user800,2,32
thoughttrace,user801,2,22
thoughttrace,user802,2,8
thoughttrace,user803,3,24
thoughttrace,user804,2,24
thoughttrace,user805,2,14
thoughttrace,user806,2,38
thoughttrace,user807,3,16
thoughttrace,user808,2,22
thoughttrace,user809,2,16
thoughttrace,user81,2,10
thoughttrace,user810,2,24
thoughttrace,user811,2,4
thoughttrace,user812,2,12
thoughttrace,user813,2,18
thoughttrace,user814,2,6
thoughttrace,user815,2,26
thoughttrace,user816,2,8
thoughttrace,user817,2,12
thoughttrace,user818,2,16
thoughttrace,user819,3,6
thoughttrace,user82,2,4
thoughttrace,user820,2,16
thoughttrace,user821,2,14
thoughttrace,user822,2,12
thoughttrace,user823,2,18
thoughttrace,user824,2,18
thoughttrace,user825,2,22
thoughttrace,user826,2,34
thoughttrace,user827,2,26
thoughttrace,user828,2,4
thoughttrace,user829,2,20
thoughttrace,user83,2,12
thoughttrace,user830,2,14
thoughttrace,user831,2,26
thoughttrace,user832,2,12
thoughttrace,user833,2,16
thoughttrace,user834,2,40
thoughttrace,user835,2,10
thoughttrace,user836,2,12
thoughttrace,user837,3,16
thoughttrace,user838,3,40
thoughttrace,user839,2,26
thoughttrace,user84,2,4
thoughttrace,user840,2,32
thoughttrace,user841,2,10
thoughttrace,user842,3,16
thoughttrace,user843,2,16
thoughttrace,user844,2,4
thoughttrace,user845,2,10
thoughttrace,user846,2,6
thoughttrace,user847,2,14
thoughttrace,user848,2,18
thoughttrace,user849,2,8
thoughttrace,user85,2,4
thoughttrace,user850,2,14
thoughttrace,user851,2,10
thoughttrace,user852,2,18
thoughttrace,user853,2,4
thoughttrace,user854,1,6
thoughttrace,user855,2,12
thoughttrace,user856,3,24
thoughttrace,user857,1,2
thoughttrace,user858,2,16
thoughttrace,user859,4,12
thoughttrace,user86,2,4
thoughttrace,user860,2,10
thoughttrace,user861,2,14
thoughttrace,user862,2,8
thoughttrace,user863,2,10
thoughttrace,user864,2,8
thoughttrace,user865,3,18
thoughttrace,user866,2,6
thoughttrace,user867,2,20
thoughttrace,user868,2,14
thoughttrace,user869,2,8
thoughttrace,user87,3,16
thoughttrace,user870,2,22
thoughttrace,user871,2,12
thoughttrace,user872,2,14
thoughttrace,user873,2,8
thoughttrace,user874,2,28
thoughttrace,user875,2,20
thoughttrace,user876,2,12
thoughttrace,user877,2,14
thoughttrace,user878,2,16
thoughttrace,user879,2,24
thoughttrace,user88,2,6
thoughttrace,user880,2,36
thoughttrace,user881,4,12
thoughttrace,user882,2,26
thoughttrace,user883,2,14
thoughttrace,user884,2,34
thoughttrace,user885,2,14
thoughttrace,user886,5,14
thoughttrace,user887,2,12
thoughttrace,user888,2,16
thoughttrace,user889,2,20
thoughttrace,user89,2,16
thoughttrace,user890,2,22
thoughttrace,user891,2,10
thoughttrace,user892,2,8
thoughttrace,user893,2,8
thoughttrace,user894,3,14
thoughttrace,user895,2,14
thoughttrace,user896,2,12
thoughttrace,user897,2,34
thoughttrace,user898,2,10
thoughttrace,user899,2,18
thoughttrace,user9,2,6
thoughttrace,user90,1,4
thoughttrace,user900,2,10
thoughttrace,user901,2,18
thoughttrace,user902,2,20
thoughttrace,user903,2,8
thoughttrace,user904,2,14
thoughttrace,user905,2,8
thoughttrace,user906,2,12
thoughttrace,user907,2,16
thoughttrace,user908,2,10
thoughttrace,user909,2,22
thoughttrace,user91,2,4
thoughttrace,user910,2,18
thoughttrace,user911,2,22
thoughttrace,user912,2,4
thoughttrace,user913,2,18
thoughttrace,user914,2,14
thoughttrace,user915,2,4
thoughttrace,user916,2,12
thoughttrace,user917,2,24
thoughttrace,user918,2,16
thoughttrace,user919,2,12
thoughttrace,user92,2,10
thoughttrace,user920,2,28
thoughttrace,user921,2,8
thoughttrace,user922,2,14
thoughttrace,user923,2,16
thoughttrace,user924,2,20
thoughttrace,user925,2,18
thoughttrace,user926,2,6
thoughttrace,user927,2,20
thoughttrace,user928,2,18
thoughttrace,user929,2,6
thoughttrace,user93,2,24
thoughttrace,user930,2,14
thoughttrace,user931,2,18
thoughttrace,user932,2,8
thoughttrace,user933,2,18
thoughttrace,user934,2,22
thoughttrace,user935,2,14
thoughttrace,user936,2,20
thoughttrace,user937,2,18
thoughttrace,user938,2,14
thoughttrace,user939,3,20
thoughttrace,user94,2,16
thoughttrace,user940,2,26
