persona_id,split
464,train
465,train
466,train
467,train
468,train
469,train
47,train
470,train
471,train
472,train
473,train
474,train
475,train
476,train
477,train
478,train
48,train
480,train
481,train
482,train
483,train
484,train
485,train
487,train
489,train
490,train
491,train
492,train
495,train
497,train
498,train
5,train
50,train
500,train
501,train
502,train
503,train
505,train
506,train
507,train
509,train
510,train
512,train
514,train
515,train
516,train
517,train
518,train
519,train
52,train
520,train
523,train
524,train
525,train
53,train
530,train
531,train
532,train
533,train
537,train
538,train
539,train
540,train
541,train
544,train
545,train
546,train
547,train
550,train
551,train
552,train
553,train
555,train
557,train
56,train
560,train
561,train
562,train
563,train
564,train
566,train
567,train
568,train
569,train
571,train
572,train
573,train
574,train
575,train
576,train
577,train
579,train
58,train
580,train
581,train
582,train
585,train
586,train
587,train
588,train
592,train
594,train
596,train
597,train
598,train
6,train
600,train
602,train
603,train
605,train
606,train
607,train
608,train
609,train
61,train
610,train
611,train
612,train
614,train
615,train
616,train
618,train
619,train
62,train
620,train
622,train
623,train
624,train
625,train
628,train
629,train
630,train
631,train
632,train
633,train
634,train
637,train
638,train
639,train
64,train
640,train
641,train
642,train
645,train
647,train
648,train
65,train
651,train
653,train
655,train
657,train
658,train
659,train
661,train
663,train
666,train
667,train
669,train
671,train
672,train
673,train
674,train
675,train
676,train
68,train
680,train
681,train
682,train
683,train
684,train
685,train
686,train
69,train
690,train
691,train
693,train
694,train
695,train
696,train
698,train
699,train
7,train
700,train
702,train
703,train
704,train
705,train
706,train
707,train
708,train
709,train
71,train
711,train
712,train
715,train
717,train
720,train
722,train
723,train
724,train
725,train
726,train
727,train
729,train
73,train
730,train
731,train
732,train
733,train
734,train
736,train
738,train
739,train
742,train
743,train
744,train
745,train
746,train
747,train
748,train
750,train
751,train
752,train
754,train
755,train
756,train
757,train
758,train
759,train
760,train
762,train
763,train
765,train
766,train
768,train
769,train
77,train
770,train
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,train
782,train
783,train
784,train
785,train
786,train
788,train
789,train
79,train
790,train
791,train
792,train
794,train
795,train
796,train
797,train
798,train
799,train
8,train
80,train
801,train
803,train
804,train
805,train
806,train
807,train
808,train
809,train
81,train
812,train
813,train
814,train
819,train
82,train
821,train
824,train
825,train
827,train
828,train
83,train
830,train
831,train
832,train
833,train
834,train
835,train
836,train
838,train
839,train
84,train
840,train
841,train
842,train
843,train
846,train
85,train
850,train
851,train
852,train
853,train
854,train
855,train
857,train
858,train
860,train
861,train
862,train
863,train
864,train
868,train
869,train
87,train
873,train
874,train
875,train
876,train
877,train
880,train
881,train
882,train
885,train
886,train
887,train
888,train
889,train
890,train
891,train
894,train
895,train
896,train
897,train
898,train
90,train
900,train
903,train
904,train
905,train
906,train
907,train
908,train
909,train
91,train
910,train
911,train
913,train
915,train
916,train
918,train
919,train
92,train
920,train
921,train
922,train
925,train
926,train
927,train
928,train
93,train
930,train
931,train
932,train
933,train
934,train
937,train
939,train
946,train
949,train
95,train
950,train
951,train
952,train
953,train
955,train
956,train
957,train
958,train
961,train
962,train
963,train
965,train
967,train
968,train
969,train
97,train
970,train
971,train
972,train
975,train
976,train
979,train
980,train
981,train
983,train
984,train
987,train
988,train
99,train
990,train
991,train
992,train
996,train
997,train
111,val
112,val
113,val
114,val
125,val
126,val
140,val
143,val
144,val
150,val
151,val
165,val
178,val
179,val
186,val
200,val
21,val
216,val
227,val
271,val
279,val
28,val
282,val
284,val
288,val
291,val
295,val
300,val
31,val
320,val
330,val
331,val
333,val
334,val
336,val
337,val
338,val
348,val
349,val
360,val
366,val
373,val
374,val
376,val
384,val
385,val
391,val
4,val
401,val
402,val
41,val
415,val
416,val
424,val
428,val
444,val
450,val
454,val
488,val
49,val
496,val
504,val
508,val
51,val
511,val
535,val
536,val
556,val
565,val
57,val
591,val
593,val
627,val
646,val
654,val
664,val
665,val
688,val
701,val
710,val
718,val
719,val
728,val
735,val
74,val
75,val
793,val
815,val
817,val
818,val
844,val
847,val
848,val
856,val
870,val
871,val
872,val
878,val
89,val
9,val
912,val
923,val
929,val
935,val
94,val
940,val
943,val
944,val
945,val
954,val
960,val
964,val
966,val
98,val
982,val
993,val
994,val
999,val
10,benchmark
101,benchmark
107,benchmark
110,benchmark
120,benchmark
136,benchmark
137,benchmark
139,benchmark
158,benchmark
168,benchmark
174,benchmark
184,benchmark
198,benchmark
199,benchmark
208,benchmark
209,benchmark
210,benchmark
213,benchmark
215,benchmark
218,benchmark
221,benchmark
23,benchmark
235,benchmark
237,benchmark
244,benchmark
247,benchmark
25,benchmark
254,benchmark
256,benchmark
259,benchmark
260,benchmark
261,benchmark
265,benchmark
275,benchmark
277,benchmark
280,benchmark
281,benchmark
289,benchmark
292,benchmark
294,benchmark
296,benchmark
298,benchmark
299,benchmark
30,benchmark
307,benchmark
309,benchmark
310,benchmark
312,benchmark
314,benchmark
318,benchmark
319,benchmark
321,benchmark
327,benchmark
328,benchmark
332,benchmark
346,benchmark
351,benchmark
355,benchmark
361,benchmark
363,benchmark
365,benchmark
370,benchmark
371,benchmark
377,benchmark
382,benchmark
39,benchmark
408,benchmark
411,benchmark
425,benchmark
429,benchmark
432,benchmark
436,benchmark
439,benchmark
44,benchmark
445,benchmark
451,benchmark
462,benchmark
479,benchmark
486,benchmark
493,benchmark
494,benchmark
499,benchmark
513,benchmark
521,benchmark
522,benchmark
526,benchmark
527,benchmark
528,benchmark
529,benchmark
534,benchmark
54,benchmark
542,benchmark
543,benchmark
548,benchmark
549,benchmark
55,benchmark
554,benchmark
559,benchmark
570,benchmark
578,benchmark
583,benchmark
584,benchmark
589,benchmark
59,benchmark
590,benchmark
595,benchmark
599,benchmark
60,benchmark
601,benchmark
604,benchmark
613,benchmark
617,benchmark
621,benchmark
626,benchmark
63,benchmark
635,benchmark
636,benchmark
643,benchmark
644,benchmark
649,benchmark
650,benchmark
652,benchmark
656,benchmark
66,benchmark
660,benchmark
662,benchmark
668,benchmark
67,benchmark
670,benchmark
677,benchmark
678,benchmark
679,benchmark
687,benchmark
689,benchmark
692,benchmark
697,benchmark
70,benchmark
713,benchmark
714,benchmark
716,benchmark
72,benchmark
721,benchmark
737,benchmark
740,benchmark
741,benchmark
749,benchmark
753,benchmark
76,benchmark
761,benchmark
764,benchmark
767,benchmark
78,benchmark
787,benchmark
800,benchmark
802,benchmark
810,benchmark
811,benchmark
816,benchmark
820,benchmark
822,benchmark
823,benchmark
826,benchmark
829,benchmark
837,benchmark
845,benchmark
849,benchmark
859,benchmark
86,benchmark
865,benchmark
866,benchmark
867,benchmark
879,benchmark
88,benchmark
883,benchmark
884,benchmark
892,benchmark
893,benchmark
899,benchmark
901,benchmark
902,benchmark
914,benchmark
917,benchmark
924,benchmark
936,benchmark
938,benchmark
941,benchmark
942,benchmark
947,benchmark
948,benchmark
959,benchmark
96,benchmark
973,benchmark
974,benchmark
977,benchmark
978,benchmark
985,benchmark
986,benchmark
989,benchmark
995,benchmark
998,benchmark
