persona_id,n_blocks,n_preference_updates_map,n_updated_blocks,n_ask_to_forget_blocks,n_native_update_pairs,n_blocks_with_qa,n_self_blocks,n_others_blocks,mean_turns_per_block,system_prompt_keys,n_stereotypical_preferences,n_anti_stereotypical_preferences,n_neutral_preferences,n_therapy_background,n_health_and_medical_conditions
103,88,28,48,20,28,47,82,6,2.977272727272727,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|marital_status|personality|education|occupation|demographics|speaking_style_to_chatbot|behavioral_profile,28,25,29,20,10
111,102,25,51,26,25,50,98,4,2.9019607843137254,short_persona|name|age|gender|sexual_orientation|race_ethnicity|personality|degree|education|school_or_work|demographics|speaking_style_to_chatbot|backstory_events,23,29,26,20,10
114,93,25,49,24,25,48,92,1,3.075268817204301,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|current_location|marital_status|children|religion|education|career|income_level|living_arrangement|personality|technology_usage|speaking_style_to_chatbot|additional_context,16,25,26,20,10
123,81,16,40,24,16,31,78,3,3.0617283950617282,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|languages_spoken|personality|education|career|hobbies|family_background|travel_history|speaking_style_to_chatbot,15,28,28,20,10
139,97,33,50,17,33,54,96,1,3.154639175257732,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|marital_status|children|languages_spoken|religion|personality|educational_background|current_occupation|location|socioeconomic_status|hobbies_and_interests|technology_use|healthcare_needs_and_interests|speaking_style_with_chatbot,24,27,26,20,10
142,73,23,39,16,23,36,72,1,3.1232876712328768,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|personality|education|career|demographics|speaking_style_to_chatbot|daily_schedule,9,23,29,20,10
151,71,24,38,14,24,43,69,2,2.943661971830986,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_residence|languages_spoken|religion|marital_status|children|personality|educational_background|professional_background|hobbies_and_interests|political_leanings|speaking_style_to_chatbot|alternate_variants,8,28,29,20,10
168,127,34,64,30,34,68,119,8,2.9763779527559056,short_persona|name|age|gender|sexual_orientation|race|birthdate|birthplace|current_residence|marital_status|children|siblings|parents|religion|languages_spoken|education|career|retirement_life|notable_experiences|personality|digital_behavior|appearance|speaking_style_with_chatbot,24,30,29,20,10
171,87,24,49,25,24,43,83,4,3.1494252873563218,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|personality|education|occupation|location|technological_comfort|community_involvement|speaking_style_with_chatbot,18,29,28,20,10
172,99,25,53,28,25,39,96,3,3.0707070707070705,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|languages_spoken|religion|marital_status|education|occupation|income_level|living_situation|family_background|hobbies_and_interests|personality|technology_use|political_views|speaking_style_to_chatbot,25,24,26,20,10
188,102,22,44,22,22,56,99,3,3.049019607843137,short_persona|name|age|gender|sexual_orientation|race|ethnicity|nationality|religion|marital_status|children|current_location|origin|immigration_history|education|occupation|personality|languages|financial_status|community_involvement|speaking_style,28,28,25,20,10
191,96,27,48,21,27,47,93,3,3.0,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|personality|degree|education|current_occupation|location|hobbies_interests|tech_comfort_level|speaking_style_with_chatbot|demographic_notes|sample_conversation_snippet,24,29,25,20,10
192,108,33,59,26,33,53,105,3,3.1481481481481484,short_persona|name|age|gender|sexual_orientation|race|nationality|current_location|languages_spoken|religion|personality|degree|school|occupation|professional_experience|hobbies|family|income_level|tech_savviness|transportation|speaking_style|other_demographics|psychological_motivators,27,30,30,20,10
199,100,19,51,32,19,31,98,2,3.26,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|languages_spoken|religion|political_affiliation|degree|occupation|income_bracket|housing|marital_status|spouse|children|personality|habits_and_lifestyle|values_and_beliefs|technology_usage|speaking_style_to_chatbot|day_in_the_life,16,29,28,20,10
203,96,22,46,24,22,45,88,8,3.09375,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|religion|personality|education|occupation|family_background|lifestyle|speaking_style|example_dialogue_lines,26,28,26,20,10
211,102,21,46,25,21,63,98,4,2.980392156862745,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|marital_status|spouse|children|location|education|occupation|religion_spirituality|political_views|hobbies_interests|personality|technology_use|speaking_style_to_chatbot|expanded_backstory,21,27,29,20,10
214,108,31,59,28,31,50,106,2,3.259259259259259,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|marital_status|children|current_city|hometown|degree|undergraduate_degree|school|occupation|employer|years_of_experience|specializations|income_bracket|hobbies|personality|political_alignment|technology_usage|travel_history|favorite_books|speaking_style_with_chatbot|backstory,25,30,25,20,10
216,94,25,49,24,25,39,91,3,3.234042553191489,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|degree|school_or_work|location|family_background|hobbies_and_interests|fashion_style|values_and_beliefs|demographics|speaking_style_with_chatbot,19,28,29,20,10
217,94,24,49,25,24,45,91,3,3.0425531914893615,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|languages_spoken|personality|degree|occupation|income_bracket|work_challenges|values|hobbies_and_interests|family_and_relationships|religion_or_belief|housing|technology_habits|health_status|political_view|speaking_style_to_chatbot|note,28,27,29,20,10
236,95,27,52,25,27,40,94,1,2.905263157894737,short_persona|name|age|gender|sexual_orientation|race|nationality|religion|marital_status|children|grandchildren_count|personality|education|work_history|current_status|hobbies_and_interests|household|health|speaking_style_to_chatbot|sample_transcript_intro|sample_transcript,27,29,29,20,10
261,80,24,48,24,24,30,79,1,3.1125,short_persona|name|age|gender|sexual_orientation|race|nationality|religion|languages_spoken|personality|education|career|location|income_range|hobbies_and_interests|political_viewpoint|tech_comfort_level|speaking_style|psychological_profile,19,28,30,20,10
293,92,22,47,25,22,42,90,2,3.0,short_persona|name|age|gender|pronouns|sexual_orientation|race_ethnicity|nationality|place_of_residence|marital_status|spouse|children|religion_spirituality|education|employment|income_bracket|housing|personality|languages_spoken|political_leaning|health_lifestyle|technology_use|speaking_style,18,29,24,20,10
310,88,28,49,21,28,41,87,1,3.1363636363636362,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|personality|education|occupation|location|lifestyle & interests|technology_use|health_background|speaking_style_to_chatbot,18,28,29,20,10
314,69,22,39,17,22,35,67,2,3.072463768115942,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|marital_status|children|religion|languages_spoken|personality|education|occupation|hobbies_interests|technology_comfort_level|political_views|income_bracket|health|speaking_style_to_chatbot|backstory_timeline,23,29,28,20,10
326,66,20,42,22,20,33,65,1,3.378787878787879,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|current_location|personality|education|occupation|digital_presence|family_and_social|travel_pattern|speaking_style_to_chatbot,16,27,30,20,10
327,105,29,62,33,29,51,104,1,3.142857142857143,short_persona|name|age|gender|sexual_orientation|race|nationality|ethnicity|personality|degree|school|current_occupation|years_of_experience|languages|location|family_background|hobbies_and_interests|technology_usage|speaking_style_with_chatbot,27,29,28,20,10
336,80,15,44,29,15,23,79,1,3.1,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|marital_status|location|education|occupation|personality|income|technological_proficiency|speaking_style_to_chatbot|life_experiences_and_motivations,11,28,30,20,10
341,85,31,55,24,31,32,85,0,3.152941176470588,short_persona|name|age|gender|sexual_orientation|race|ethnicity|nationality|personality|degree|school|current_occupation|side_projects|political_alignment|city_of_residence|neighborhood_type|religion|income_bracket|relationship_status|hobbies|motivations|speaking_style|digital_habits,28,29,29,20,10
352,95,20,43,23,20,56,88,7,2.9894736842105263,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|personality_traits|education|current_profession|location|lifestyle_and_interests|motivation_for_chatbot_use|communication_style_with_chatbot,15,30,29,20,10
354,81,18,39,21,18,45,75,6,2.888888888888889,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|personality|education|employment|location|hobbies_interests|technology_use|religion|political_views|income_bracket|speaking_style_to_chatbot,17,26,28,20,10
358,83,24,37,13,24,56,78,5,3.036144578313253,short_persona|detailed_persona|speaking_style_to_chatbot,27,27,25,20,10
362,107,30,54,24,30,46,105,2,2.94392523364486,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|languages|personality|education|work|demographics|speaking_style_with_chatbot,21,27,27,20,10
369,101,32,54,22,32,51,97,4,3.00990099009901,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|residence|languages_spoken|personality|degree|current_occupation|socioeconomic_status|family_background|interests|technology_habits|chatbot_speaking_style,21,30,28,20,10
392,92,22,43,21,22,47,87,5,2.9565217391304346,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|marital_status|spouse_name|children|religion|political_leanings|personality|education|employment|income_range|hobbies|community_involvement|speaking_style_with_chatbot,22,28,24,20,10
396,95,18,44,26,18,47,92,3,3.0736842105263156,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|personality|education|occupation|languages|religion|marital_status|family|political_view|income_level|technology_use|speaking_style_with_chatbot,14,29,29,20,10
408,89,30,44,14,30,53,85,4,2.943820224719101,short_persona|name|age|gender|sexual_orientation|race|nationality|current_location|languages_spoken|religion|marital_status|children|personality|degree|school|occupation|income_bracket|technological_comfort_level|travel_experience|social_media_use|collecting_habits|living_situation|community_involvement|media_consumption|preferred_learning_style|speaking_style_to_chatbot,14,28,29,20,10
425,109,25,55,30,25,46,109,0,3.2018348623853212,short_persona|name|age|gender|sexual_orientation|race_ethnicity|personality|education|career|location|speaking_style_to_chatbot|other_demographics,28,29,30,20,10
427,96,27,51,24,27,55,95,1,2.9791666666666665,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|degree|school_or_work|location|languages|religion_or_spirituality|hobbies_and_interests|economic_status|health|speaking_style,19,26,30,20,10
428,82,22,44,22,22,39,80,2,3.1463414634146343,short_persona|name|age|gender|sexual_orientation|race_ethnicity|religion|personality|degree_pursuing|school|year_in_program|current_location|work_experience|career_goals|hobbies_interests|family_background|technological_comfort_level|speaking_style_to_chatbot,28,30,30,20,10
444,89,27,45,19,26,53,85,4,2.943820224719101,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|religion|marital_status|children|hometown|current_residence|occupation|education|work_experience|languages_spoken|interests_and_hobbies|personality|financial_status|community_role|speaking_style|day_in_the_life_schedule,17,30,28,20,10
446,95,24,46,22,24,43,90,5,2.863157894736842,short_persona|name|age|gender|sexual_orientation|race|nationality|birthplace|current_location|languages_spoken|personality|education|current_occupation|hobbies_and_interests|travel_experience|technology_and_social_media|lifestyle_and_background|speaking_style_with_chatbot,16,27,29,20,10
451,90,22,43,21,22,47,88,2,3.088888888888889,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_residence|marital_status|children|personality|education|occupation|income_bracket|hobbies_and_interests|political_affiliation|religion_or_spirituality|speaking_style_to_chatbot,22,29,27,20,10
457,96,24,50,26,24,38,90,6,2.9479166666666665,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|education|work_experience|location|lifestyle_and_interests|technology_comfort_level|speaking_style_to_chatbot,8,29,29,20,10
465,107,25,55,30,25,45,107,0,3.0841121495327104,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|current_location|marital_status|partner_profession|children|personality|education|career|income_bracket|religion|diet|technology_usage|speaking_style_to_chatbot,22,29,28,20,10
483,94,23,48,25,23,43,92,2,2.925531914893617,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|education|occupation|location|family_background|languages|values_and_beliefs|speaking_style_to_chatbot,14,29,28,20,10
492,92,23,46,23,23,41,89,3,3.260869565217391,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|languages_spoken|personality|education|occupation|demographic_background|speaking_style_to_chatbot|psychographic_details,17,27,28,20,10
499,73,9,31,22,9,30,67,6,3.095890410958904,short_persona|name|age|gender|sexual_orientation|race|nationality|current_residence|birthplace|languages_spoken|marital_status|children|religion|personality|degree|school|undergraduate_degree|undergraduate_school|current_profession|previous_professions|notable_achievements|income_bracket|hobbies_and_interests|technology_usage|speaking_style_with_chatbot,6,27,30,20,10
502,96,29,56,27,29,43,95,1,3.125,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|native_language|other_languages|personality|education|occupation|hobbies_and_interests|family_background|location|speaking_style_with_chatbot,24,28,26,20,10
505,72,23,39,16,23,36,69,3,3.0833333333333335,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|marital_status|children|education|career|income_level|residence|hobbies_and_interests|political_affiliation|personality|tech_comfort_level|speaking_style_with_chatbot,5,30,30,20,10
513,94,29,50,21,29,49,94,0,3.021276595744681,short_persona|name|age|gender|sexual_orientation|race|nationality|hometown|current_city|personality|degree|school_or_work|languages_spoken|income_range|relationship_status|living_situation|fitness_routine|public_persona|speaking_style_to_chatbot|psychological_profile|daily_routine,22,29,27,20,10
548,107,26,53,27,26,49,105,2,3.0093457943925235,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|marital_status|children|degree|school_or_work|hobbies_interests|motivations|technology_comfort_level|personality|speaking_style_to_chatbot|demographics_detailed|psychological_profile,22,27,30,20,10
564,82,30,50,20,30,35,79,3,3.1707317073170733,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|religion|personality|education|career|location|lifestyle|speaking_style,22,29,29,20,10
567,115,29,60,31,29,54,112,3,2.9391304347826086,short_persona|name|age|gender|sexual_orientation|race|nationality|current_location|education_level|high_school|aspirations|degree_or_training_interest|family_background|hobbies_and_interests|personality|school_or_work|speaking_style_to_chatbot|conversational_background_scenario,21,29,28,20,10
570,89,32,51,19,32,42,84,5,3.033707865168539,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religious_cultural_identity|personality|education|employment|location|other_demographics|speaking_style,24,25,28,20,10
576,70,22,41,19,22,25,70,0,3.0,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|residence|languages_spoken|education|occupation|professional_affiliations|publications|personality|hobbies_and_interests|technological_habits|socioeconomic_status|speaking_style_to_chatbot|psychological_and_behavioral_profile,6,29,27,20,10
583,101,37,55,18,37,58,99,2,2.9504950495049505,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_city|birthplace|languages_spoken|personality|degree|school_or_work|artistic_specialization|socioeconomic_status|marital_status|children|religion|political_views|hobbies_and_interests|technology_usage|speaking_style_to_chatbot,23,28,29,20,10
586,86,26,43,17,26,50,82,4,2.9069767441860463,short_persona|name|age|gender|sexual_orientation|race_ethnicity|personality|education|employment|location|lifestyle|values_and_motivations|speaking_style_with_chatbot,6,30,30,20,10
595,102,29,52,23,29,52,100,2,2.980392156862745,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|degree|school|work|location|income_bracket|family_status|hobbies_interests|political_leanings|religion|speaking_style_to_chatbot,20,30,29,20,10
599,96,27,50,23,27,48,93,3,2.9791666666666665,short_persona|name|age|gender|sexual_orientation|race|nationality|current_location|languages_spoken|education|career|skills|personality|technology_habits|speaking_style_with_chatbot,17,30,30,20,10
608,73,26,49,23,26,18,73,0,3.0684931506849313,short_persona|name|age|gender|sexual_orientation|race_ethnicity|personality|degree|school|work|location|languages|interests|tech_stack|social_values|economic_status|relationship_status|speaking_style_to_chatbot|typical_conversational_patterns_and_quirks,10,27,29,20,10
614,89,27,43,16,27,47,87,2,3.0786516853932584,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion|location|personality|education|family_background|work|hobbies_and_interests|speaking_style_to_chatbot,5,28,29,20,10
621,88,29,52,23,29,38,87,1,2.9431818181818183,short_persona|name|age|date_of_birth|gender|sexual_orientation|race_ethnicity|nationality|citizenship|current_location|languages_spoken|personality|education|employment|lifestyle|speaking_style_to_chatbot,7,27,27,20,10
631,99,23,48,25,23,44,94,5,3.1515151515151514,short_persona|name|age|gender|sexual_orientation|race_ethnicity|personality|education|occupation|location|demographics_and_lifestyle|technology_use|speaking_style_to_chatbot,25,29,29,20,10
648,96,26,49,23,26,45,92,4,2.9166666666666665,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|degree|school_or_work|location|languages_spoken|family_background|technological_comfort_level|accessibility_focus|speaking_style_with_chatbot,6,29,29,20,10
666,112,30,61,31,30,53,108,4,3.2410714285714284,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|education|career|demographics|speaking_style_to_chatbot,14,30,30,20,10
670,95,25,47,22,25,44,93,2,2.905263157894737,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|personality|degree|undergraduate_degree|school_or_work|location|family_and_relationships|interests_and_hobbies|technology_comfort_level|speaking_style_with_chatbot,25,28,27,20,10
684,101,23,52,29,23,46,100,1,3.0693069306930694,short_persona|name|age|gender|sexual_orientation|race_ethnicity|personality|education|occupation|location|lifestyle|family_background|speaking_style,12,25,27,20,10
686,82,20,41,21,20,42,77,5,3.0853658536585367,short_persona|name|age|gender|sexual_orientation|racial_identity|nationality|current_location|languages_spoken|personality|education|occupation|technological_comfort_level|income_bracket|living_situation|lifestyle_details|speaking_style_to_chatbot,5,29,28,20,10
694,76,24,40,16,24,36,72,4,3.026315789473684,short_persona|name|age|gender|sexual_orientation|race|ethnicity|nationality|marital_status|children|location|education|occupation|languages|religion|income_bracket|lifestyle|personality|technology_usage|speaking_style_to_chatbot,28,29,27,20,10
710,71,22,36,14,22,42,65,6,2.9859154929577465,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|current_location|hometown|degree|school|occupation|industry|years_of_experience|employer|specialties|professional_certifications|personality|work_environment|income_range|marital_status|living_situation|hobbies_interests|technology_usage|speaking_style_to_chatbot,13,27,27,20,10
722,108,23,54,31,23,47,105,3,3.1203703703703702,short_persona|name|age|gender|sexual_orientation|race|ethnicity|nationality|current_location|languages_spoken|personality|degree|school_or_work|military_background|health_and_personal_background|speaking_style,28,30,29,20,10
726,88,29,46,17,29,56,83,5,3.090909090909091,short_persona|name|age|gender|sexual_orientation|race|nationality|languages|personality|education|occupation|residence|socioeconomic_status|technology_comfort_level|speaking_style_to_chatbot,21,29,30,20,10
729,82,30,46,16,30,48,80,2,2.902439024390244,short_persona|name|age|gender|sexual_orientation|race|nationality|birthplace|current_location|languages_spoken|religion|education|occupation|musical_influences|goals|hobbies|personality|family_background|speaking_style_to_chatbot,6,26,27,20,10
734,88,20,41,21,20,45,80,8,3.125,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|education|occupation|location|family|lifestyle|speaking_style_to_chatbot,18,28,29,20,10
736,93,28,48,20,28,51,89,4,3.032258064516129,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|languages_spoken|personality|educational_background|employment|demographics|speaking_style_with_chatbot,28,28,29,20,10
739,117,25,57,32,25,56,116,1,3.3076923076923075,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_location|hometown|personality|education|career|lifestyle_and_hobbies|technology_and_chatbot_interaction|speaking_style_to_chatbot|day_in_the_life,21,27,29,20,10
749,112,24,57,33,24,45,108,4,3.0357142857142856,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|personality_traits|education|occupation|residence|hobbies_interests|family_background|speaking_style_to_chatbot,27,28,30,20,10
750,81,24,41,17,24,42,79,2,3.049382716049383,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|marital_status|children|residence|personality_traits|education|occupation|income_range|hobbies_interests|technology_comfort_level|insurance_needs_context|speaking_style_to_chatbot,8,28,29,20,10
763,86,25,43,18,25,45,79,7,2.9651162790697674,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|marital_status|children|location|personality|education|career|tech_stack_familiarity|income_range_usd|speaking_style_to_chatbot,22,27,28,20,10
786,95,29,49,20,29,51,93,2,2.9894736842105263,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|religion_spirituality|marital_status|children|education|occupation|location|income_bracket|hobbies_interests|political_views|speaking_style_to_chatbot|technology_usage|biography,25,30,30,20,10
797,97,21,43,22,21,55,95,2,2.865979381443299,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|religion_cultural_background|personality|education|occupation|location|socioeconomic_background|lifestyle_habits|political_views|speaking_style_to_chatbot|psychological_profile,23,28,27,20,10
803,117,36,61,25,36,62,113,4,3.0085470085470085,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|languages_spoken|personality|education|work|demographics|speaking_style_to_chatbot|example_speaking_style_sentence,21,27,29,20,10
815,91,25,47,22,25,42,85,6,3.120879120879121,short_persona|name|age|gender|sexual_orientation|race|nationality|languages_spoken|personality|education|career|location|income_range|marital_status|family|hobbies_and_interests|technology_use|speaking_style_with_chatbot,21,27,28,20,10
839,101,26,48,22,26,53,99,2,3.0594059405940595,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|religion|marital_status|languages_spoken|personality|education|current_work|living_conditions|hobbies_and_interests|technology_usage|speaking_style_to_chatbot,23,27,27,18,10
840,105,31,53,22,31,60,100,5,2.8380952380952382,short_persona|name|age|gender_identity|sexual_orientation|race_ethnicity|nationality|religion_cultural_identity|personality|education|career|residence|interests_hobbies|political_viewpoint|speaking_style_with_chatbot|psychological_profile,24,30,30,20,10
846,87,26,47,21,26,41,81,6,3.1494252873563218,short_persona|name|age|gender|sexual_orientation|race|nationality|ethnicity|personality|degree|school|work|location|lifestyle|demographic_details|speaking_style,11,29,29,20,10
847,100,34,55,21,34,54,98,2,3.12,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages|current_location|birthplace|personality|education|career|lifestyle|speaking_style,21,27,30,20,10
851,127,29,63,34,29,61,125,2,3.1181102362204722,short_persona|name|age|gender|sexual_orientation|race|nationality|city_of_residence|marital_status|religion|personality|degree|school_or_work|years_of_experience|income_level|languages_spoken|technology_access|transportation|family_background|motivations|challenges|speaking_style,21,29,30,20,10
853,114,29,56,27,29,57,109,5,3.0350877192982457,short_persona|name|age|gender|sexual_orientation|race|nationality|birthplace|current_residence|languages_spoken|personality|degree|school_or_work|other_demographics|speaking_style_to_chatbot,24,29,29,20,10
855,115,25,55,30,25,58,111,4,3.0956521739130434,short_persona|name|age|gender|sexual_orientation|race|nationality|current_location|personality|degree|school|work|industry|marital_status|children|hobbies|technology_comfort_level|languages_spoken|speaking_style_to_chatbot,27,28,29,20,10
857,95,25,44,19,25,52,89,6,3.0105263157894737,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|education|career|location|lifestyle|speaking_style,26,28,29,20,10
865,127,37,65,28,37,67,122,5,3.0393700787401574,short_persona|name|age|gender|sexual_orientation|race|nationality|birthplace|current_residence|marital_status|children|pets|personality|education|occupation|income_bracket|hobbies|childhood_background|cultural_background|technology_comfort_level|speaking_style_to_chatbot,29,29,29,20,10
869,101,23,51,28,23,39,97,4,3.0297029702970297,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|languages_spoken|personality|education|employment|location|lifestyle_and_interests|family_background|speaking_style_with_chatbot|behavioral_interaction_map,6,28,28,20,10
878,106,31,58,27,31,60,104,2,3.1132075471698113,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|religion|languages_spoken|marital_status|children|location|education|occupation|income_level|personality|public_image|speaking_style_to_chatbot|day_in_the_life,21,27,29,20,10
879,82,30,48,18,30,47,80,2,3.2439024390243905,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|hometown|current_location|personality|degree|school|current_occupation|languages_spoken|demographics|interests_and_hobbies|speaking_style_with_chatbot|travel_routine_and_workflow,24,29,28,20,10
881,77,24,39,15,24,48,74,3,3.012987012987013,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|current_residence|birthplace|personality|degree|school|work|languages|religion|political_views|economic_status|technology_use|community_relationship|speaking_style_to_chatbot|psychological_and_behavioral_profile,9,26,28,20,10
891,129,36,66,30,36,57,126,3,3.0,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|birthplace|current_location|marital_status|children|religious_views|political_views|personality|education|career|speaking_style_to_chatbot,30,29,28,20,10
897,74,17,38,21,17,27,73,1,3.081081081081081,short_persona|name|age|gender|sexual_orientation|race_ethnicity|nationality|personality|degree|school|occupation|location|languages_spoken|hobbies|tech_usage|speaking_style_to_chatbot|daily_routine_and_lifestyle_habits,5,25,29,20,10
