user_id,conversations,waves,n_waves,languages,n_languages,countries,n_countries,pregenerated_conversations,user_initiated_conversations,observed_turns,feedback_items,preference_choices,choice_entropy_bits,dominant_choice_share,choice_a,choice_b,choice_c,choice_d,unique_prompt_hashes,duplicate_prompt_rows_within_user,length_comparisons,fraction_chosen_longest,fraction_chosen_shortest
61572788022898,30,1,1,en,1,india,1,22,8,82,8,82,1.5765856313179276,0.5975609756097561,49,13,14,6,82,0,82,0.1951219512195122,0.2804878048780488
61572803443414,28,1,1,pt,1,brazil,1,20,8,76,48,76,1.9624099739184384,0.32894736842105265,25,20,13,18,76,0,76,0.2236842105263158,0.2631578947368421
61572806113212,28,1,1,en,1,india,1,23,5,76,12,76,1.6111793290287852,0.4868421052631579,37,27,7,5,76,0,76,0.13157894736842105,0.2631578947368421
61572815085425,249,1,1,fr,1,france,1,21,228,769,60,769,0.8429604576793586,0.8504551365409623,654,38,31,46,754,15,769,0.1378413524057217,0.46423927178153446
61572817333773,25,1,1,en,1,india,1,18,7,66,0,66,1.6503892961941,0.5757575757575758,38,11,8,9,65,1,66,0.2878787878787879,0.24242424242424243
61572830323521,24,1,1,en,1,india,1,19,5,61,61,61,1.8510605010097183,0.4098360655737705,18,7,11,25,61,0,61,0.32786885245901637,0.32786885245901637
61572836863942,31,1,1,en,1,united states,1,23,8,83,81,83,1.9963674371199291,0.27710843373493976,19,21,20,23,83,0,83,0.3253012048192771,0.1927710843373494
61572854504279,26,1,1,fr,1,france,1,20,6,70,29,70,1.9809372866401305,0.3142857142857143,22,17,14,17,70,0,70,0.22857142857142856,0.21428571428571427
61572871334638,31,1,1,fr,1,france,1,2,29,88,0,88,1.8669920852453687,0.4318181818181818,38,14,14,22,88,0,88,0.25,0.26136363636363635
61572882850263,30,1,1,en,1,united states,1,22,8,81,59,81,1.325799149960707,0.7037037037037037,57,11,8,5,81,0,81,0.19753086419753085,0.2839506172839506
61572892659615,29,1,1,fr,1,france,1,22,7,82,0,82,1.654814613338954,0.5609756097560976,46,17,8,11,82,0,82,0.36585365853658536,0.21951219512195122
61572893499743,26,1,1,pt,1,brazil,1,19,7,69,58,69,1.8851714352192803,0.36231884057971014,23,25,10,11,69,0,69,0.2608695652173913,0.37681159420289856
61572894219651,27,1,1,fr,1,france,1,21,6,75,0,75,1.945365444385212,0.32,24,18,11,22,75,0,75,0.32,0.22666666666666666
61572894309691,26,1,1,fr,1,france,1,19,7,72,72,72,1.9631716409641131,0.3472222222222222,25,16,17,14,72,0,71,0.323943661971831,0.23943661971830985
61572896739506,22,1,1,fr,1,france,1,16,6,59,0,59,1.9270409414990544,0.3728813559322034,10,11,16,22,59,0,59,0.4576271186440678,0.15254237288135594
61572897099580,21,1,1,en,1,india,1,13,8,48,48,48,1.8159481175422363,0.4791666666666667,10,23,8,7,48,0,48,0.22916666666666666,0.2708333333333333
61572905289253,29,1,1,fr,1,france,1,21,8,78,78,78,1.9522625929910085,0.34615384615384615,20,13,18,27,78,0,78,0.4358974358974359,0.19230769230769232
61572907778982,28,1,1,fr,1,france,1,21,7,78,78,78,1.8830039962221778,0.4230769230769231,19,13,13,33,78,0,78,0.358974358974359,0.2948717948717949
61572910058877,27,1,1,fr,1,france,1,22,5,73,60,73,1.8119990568237452,0.4657534246575342,34,9,12,18,73,0,73,0.3424657534246575,0.3150684931506849
61572911049040,7,1,1,pt,1,brazil,1,0,7,19,0,19,1.9440097497163569,0.3157894736842105,6,6,4,3,19,0,19,0.2631578947368421,0.47368421052631576
61572912788486,29,1,1,en,1,india,1,22,7,80,40,80,1.87991836293335,0.4125,15,11,21,33,80,0,80,0.2875,0.2375
61572914558646,29,1,1,pt,1,brazil,1,22,7,79,55,79,1.9520719532585784,0.34177215189873417,21,18,13,27,79,0,79,0.4177215189873418,0.21518987341772153
61572924338324,31,1,1,en,1,united states,1,23,8,86,75,86,1.8331758778011245,0.43023255813953487,37,11,13,25,86,0,86,0.27906976744186046,0.3023255813953488
61572930967924,28,1,1,hi,1,india,1,22,6,67,67,67,1.9763306314584475,0.3283582089552239,22,14,15,16,67,0,67,0.417910447761194,0.13432835820895522
61572931087920,32,1,1,fr,1,france,1,23,9,90,0,90,1.6869607936135989,0.5333333333333333,48,19,7,16,90,0,90,0.16666666666666666,0.3888888888888889
61572939577297,28,1,1,en,1,india,1,22,6,72,55,72,1.4816629658152425,0.4583333333333333,31,6,2,33,70,2,72,0.1527777777777778,0.5555555555555556
61572939997623,44,1,1,en,1,india,1,36,8,123,119,123,0.06812462580532022,0.991869918699187,122,0,1,0,122,1,123,0.11382113821138211,0.3333333333333333
61572943207332,26,1,1,fr,1,france,1,19,7,73,6,73,1.7955981195227892,0.4383561643835616,32,12,7,22,73,0,73,0.3150684931506849,0.273972602739726
61572945636998,30,1,1,pt,1,brazil,1,22,8,82,82,82,1.9548151569369963,0.32926829268292684,27,15,16,24,82,0,82,0.4024390243902439,0.14634146341463414
61572946057675,29,1,1,en,1,india,1,22,7,80,60,80,1.826329620279434,0.425,34,24,13,9,80,0,80,0.275,0.275
61572949386705,2,1,1,fr,1,france,1,2,0,4,0,4,1.5,0.5,1,2,1,0,4,0,4,0.25,0.0
61572954306907,30,1,1,pt,1,brazil,1,22,8,83,33,83,1.8981413458580412,0.3855421686746988,32,17,23,11,83,0,82,0.2804878048780488,0.2804878048780488
61572954786814,21,1,1,pt,1,brazil,1,16,5,54,39,54,1.9830975623895442,0.2962962962962963,16,11,12,15,54,0,54,0.4074074074074074,0.24074074074074073
61572964686191,25,1,1,fr,1,france,1,18,7,66,4,66,1.9612325352153852,0.3333333333333333,22,18,12,14,66,0,66,0.24242424242424243,0.25757575757575757
61572965826051,25,1,1,pt,1,brazil,1,17,8,66,18,66,1.9289395754046739,0.36363636363636365,18,10,14,24,66,0,66,0.3333333333333333,0.3333333333333333
61572976475726,24,1,1,pt,1,brazil,1,19,5,67,55,67,1.7398526006420285,0.4626865671641791,21,6,9,31,67,0,66,0.3484848484848485,0.3333333333333333
61572980405370,41,1,1,fr,1,france,1,21,20,98,0,98,1.966432831752055,0.32653061224489793,27,19,20,32,98,0,98,0.32653061224489793,0.22448979591836735
61572985534941,23,1,1,pt,1,brazil,1,17,6,67,17,67,1.939139554200773,0.3283582089552239,21,13,11,22,67,0,66,0.4696969696969697,0.15151515151515152
61572986945032,22,1,1,fr,1,france,1,16,6,62,0,62,1.8954014754513462,0.4032258064516129,16,9,12,25,62,0,62,0.43548387096774194,0.1935483870967742
61572987845124,11,1,1,pt,1,brazil,1,7,4,37,0,37,1.943648709168551,0.35135135135135137,10,6,8,13,37,0,37,0.2972972972972973,0.2972972972972973
61572990814920,28,1,1,fr,1,france,1,20,8,65,5,65,1.9308170082198812,0.3384615384615385,15,9,19,22,65,0,65,0.36923076923076925,0.27692307692307694
61572991877824,28,1,1,fr,1,france,1,22,6,76,76,76,1.8952366979729918,0.3684210526315789,24,11,13,28,76,0,76,0.32894736842105265,0.2631578947368421
61572994007723,30,1,1,fr,1,france,1,22,8,84,56,84,1.9060230689723856,0.40476190476190477,19,13,18,34,84,0,84,0.5476190476190477,0.10714285714285714
61572995087805,35,1,1,en,1,india,1,23,12,93,35,93,1.78250671500421,0.5053763440860215,47,16,16,14,93,0,93,0.1827956989247312,0.26881720430107525
61572995584458,21,1,1,fr,1,france,1,20,1,58,58,58,1.9392480682393154,0.3793103448275862,22,11,13,12,58,0,58,0.29310344827586204,0.3275862068965517
61572997037834,30,1,1,fr,1,france,1,23,7,80,41,80,1.991954458392506,0.2875,23,18,18,21,80,0,79,0.3670886075949367,0.189873417721519
61572999467476,55,1,1,fr,1,france,1,47,8,155,0,155,1.8752183398770241,0.3741935483870968,58,23,23,51,155,0,155,0.3741935483870968,0.14193548387096774
61573001614545,2,1,1,en,1,united states,1,2,0,6,6,6,0.9182958340544896,0.6666666666666666,0,2,0,4,6,0,6,0.6666666666666666,0.0
61573003997283,24,1,1,fr,1,france,1,16,8,66,0,66,1.632858657720953,0.48484848484848486,32,5,6,23,65,1,66,0.3333333333333333,0.36363636363636365
61573007524060,30,1,1,fr,1,france,1,23,7,79,0,79,1.9480954654977303,0.31645569620253167,25,14,15,25,79,0,79,0.4050632911392405,0.20253164556962025
61573009923799,29,1,1,fr,1,france,1,23,6,80,0,80,1.9428426873209985,0.3625,29,15,15,21,80,0,78,0.3333333333333333,0.2692307692307692
61573011363724,26,1,1,en,1,united states,1,20,6,71,0,71,1.9315536011603007,0.38028169014084506,27,17,15,12,71,0,71,0.23943661971830985,0.29577464788732394
61573012877681,27,1,1,pt,1,brazil,1,19,8,73,73,73,1.9377212174542724,0.3287671232876712,23,12,14,24,73,0,73,0.273972602739726,0.2876712328767123
61573015803295,111,1,1,pt,1,brazil,1,63,48,286,23,286,1.8353930720171003,0.40559440559440557,116,47,32,91,285,1,284,0.426056338028169,0.21830985915492956
61573016133369,29,1,1,it,1,italy,1,22,7,79,51,79,1.9082988773737148,0.3670886075949367,24,12,14,29,79,0,78,0.48717948717948717,0.23076923076923078
61573018383344,31,1,1,fr,1,france,1,18,13,84,0,84,1.9858030597653733,0.30952380952380953,18,26,20,20,84,0,84,0.4166666666666667,0.13095238095238096
61573021846202,28,1,1,pt,1,brazil,1,22,6,75,14,75,1.944827527795164,0.3333333333333333,25,20,11,19,75,0,75,0.26666666666666666,0.24
61573022597906,28,1,1,it,1,italy,1,22,6,74,0,74,1.8737292438036457,0.43243243243243246,32,11,14,17,74,0,74,0.3918918918918919,0.21621621621621623
61573022866409,24,1,1,pt,1,brazil,1,17,7,62,0,62,1.9441590008864977,0.3387096774193548,13,10,18,21,62,0,62,0.3387096774193548,0.1774193548387097
61573023483077,27,1,1,en,1,india,1,21,6,74,66,74,1.8283304437265642,0.40540540540540543,30,14,7,23,74,0,74,0.2972972972972973,0.32432432432432434
61573024936314,20,1,1,fr,1,france,1,14,6,51,25,51,1.9447738734102697,0.35294117647058826,10,9,14,18,51,0,51,0.43137254901960786,0.23529411764705882
61573025103065,4,1,1,en,1,india,1,4,0,8,8,8,1.4056390622295665,0.5,4,3,1,0,8,0,8,0.25,0.5
61573026166194,27,1,1,fr,1,france,1,21,6,76,18,76,1.8028870878918053,0.4868421052631579,37,16,11,12,76,0,72,0.2361111111111111,0.20833333333333334
61573026362927,2,1,1,en,1,india,1,2,0,4,0,4,2.0,0.25,1,1,1,1,4,0,4,0.0,0.25
61573029377619,21,1,1,it,1,italy,1,20,1,59,0,59,1.9132505248690659,0.3898305084745763,15,12,9,23,59,0,59,0.288135593220339,0.3050847457627119
61573029962728,22,1,1,en,1,united states,1,22,0,22,0,22,1.789929075309999,0.45454545454545453,6,4,2,10,22,0,22,0.36363636363636365,0.2727272727272727
61573033592817,84,1,1,fr,1,france,1,47,37,216,0,216,1.8869721791189622,0.3611111111111111,72,34,32,78,216,0,215,0.3116279069767442,0.26046511627906976
61573036322799,25,1,1,pt,1,brazil,1,18,7,72,34,72,1.9275864764730541,0.3194444444444444,23,20,9,20,72,0,72,0.3333333333333333,0.25
61573036773006,25,1,1,pt,1,brazil,1,19,6,64,56,64,1.9078900545311064,0.34375,21,12,9,22,64,0,61,0.3442622950819672,0.26229508196721313
61573040625137,29,1,1,fr,1,france,1,21,8,79,6,79,1.7309678769564523,0.5189873417721519,41,13,8,17,79,0,79,0.3291139240506329,0.24050632911392406
61573040866594,27,1,1,it,1,italy,1,20,7,74,54,74,1.9216495685547725,0.32432432432432434,16,24,10,24,74,0,74,0.3783783783783784,0.16216216216216217
61573041212282,28,1,1,fr,1,france,1,20,8,78,46,78,1.891258773233931,0.3717948717948718,15,29,24,10,78,0,78,0.3333333333333333,0.23076923076923078
61573042665508,26,1,1,fr,1,france,1,19,7,68,68,68,1.949085569428612,0.3382352941176471,19,15,11,23,68,0,68,0.3382352941176471,0.2647058823529412
61573043372523,26,1,1,pt,1,brazil,1,20,6,70,36,70,1.8927435992418744,0.37142857142857144,22,12,10,26,70,0,70,0.45714285714285713,0.18571428571428572
61573044002499,27,1,1,pt,1,brazil,1,19,8,74,68,74,1.9633529241199175,0.35135135135135137,26,16,16,16,74,0,74,0.25675675675675674,0.24324324324324326
61573044255129,25,1,1,hi,1,india,1,19,6,69,69,69,1.9860294776190122,0.2898550724637681,20,19,14,16,69,0,68,0.39705882352941174,0.14705882352941177
61573044272015,28,1,1,fr,1,france,1,21,7,72,72,72,1.613527914776626,0.5416666666666666,39,4,10,19,72,0,72,0.3472222222222222,0.3194444444444444
61573045845052,1,1,1,en,1,india,1,1,0,2,0,2,-0.0,1.0,2,0,0,0,2,0,2,0.0,0.0
61573049582066,30,1,1,en,1,united states,1,24,6,80,9,80,1.9174078582027612,0.4,32,14,18,16,80,0,80,0.3875,0.2625
61573050061893,32,1,1,fr,1,france,1,25,7,88,84,88,1.8645031763261024,0.4431818181818182,39,18,13,18,88,0,88,0.2727272727272727,0.3181818181818182
61573050134709,26,1,1,hi,1,india,1,18,8,71,71,71,1.7685425885280641,0.49295774647887325,35,11,8,17,71,0,70,0.42857142857142855,0.24285714285714285
61573051725192,14,1,1,pt,1,brazil,1,14,0,26,0,26,1.688035144392618,0.5384615384615384,14,6,3,3,26,0,26,0.23076923076923078,0.3076923076923077
61573053375071,29,1,1,fr,1,france,1,22,7,81,22,81,1.9697149752083492,0.32098765432098764,26,15,18,22,81,0,81,0.30864197530864196,0.20987654320987653
61573054454503,30,1,1,fr,1,france,1,23,7,81,12,81,1.9251491987642093,0.3333333333333333,25,27,18,11,81,0,81,0.2345679012345679,0.19753086419753085
61573059764597,19,1,1,en,1,india,1,19,0,51,0,51,1.8077635764171944,0.47058823529411764,12,9,6,24,51,0,51,0.3333333333333333,0.3333333333333333
61573060664322,4,1,1,fr,1,france,1,0,4,8,8,8,1.2987949406953985,0.625,0,1,5,2,8,0,8,0.25,0.25
61573062134347,31,1,1,pt,1,brazil,1,23,8,85,85,85,1.8330089930109543,0.36470588235294116,31,14,9,31,85,0,85,0.49411764705882355,0.25882352941176473
61573068253886,26,1,1,en,1,india,1,20,6,67,67,67,1.9720080086482459,0.3283582089552239,15,17,13,22,67,0,67,0.373134328358209,0.31343283582089554
61573071750653,26,1,1,fr,1,france,1,20,6,73,73,73,1.9545312638037946,0.3561643835616438,26,14,15,18,73,0,72,0.4583333333333333,0.1111111111111111
61573072801000,29,1,1,fr,1,france,1,21,8,74,74,74,1.9387175107901877,0.35135135135135137,26,18,11,19,74,0,74,0.2972972972972973,0.24324324324324326
61573074840596,28,1,1,fr,1,france,1,21,7,74,51,74,1.8582239837722945,0.44594594594594594,12,17,12,33,74,0,74,0.44594594594594594,0.16216216216216217
61573077210264,27,1,1,pt,1,brazil,1,19,8,71,71,71,1.907329830105477,0.352112676056338,23,11,12,25,71,0,71,0.3380281690140845,0.2535211267605634
61573079190124,23,1,1,pt,1,brazil,1,20,3,63,37,63,1.9238815536266534,0.38095238095238093,16,10,13,24,63,0,63,0.4444444444444444,0.14285714285714285
61573081243092,28,1,1,fr,1,france,1,23,5,78,22,78,1.844315097443828,0.4230769230769231,33,9,14,22,78,0,78,0.3076923076923077,0.2948717948717949
61573082100143,23,1,1,fr,1,france,1,18,5,59,0,59,1.9129275926524387,0.3728813559322034,22,13,8,16,59,0,59,0.3389830508474576,0.3050847457627119
61573082234749,28,1,1,it,1,italy,1,22,6,78,0,78,1.7529880573064944,0.47435897435897434,22,7,12,37,78,0,77,0.4935064935064935,0.16883116883116883
61573088549702,31,1,1,fr,1,france,1,24,7,86,48,86,1.7285608928412872,0.5116279069767442,44,21,12,9,86,0,86,0.3488372093023256,0.18604651162790697
61573089179589,27,1,1,en,1,india,1,21,6,73,16,73,1.8469603097862488,0.3972602739726027,23,13,29,8,73,0,73,0.3698630136986301,0.1506849315068493
61573090242830,18,1,1,en,1,india,1,14,4,47,0,47,1.695778270783689,0.5106382978723404,24,5,13,5,47,0,47,0.46808510638297873,0.1702127659574468
61573091892807,30,1,1,fr,1,france,1,22,8,84,84,84,1.948332822849664,0.32142857142857145,25,13,19,27,84,0,84,0.2976190476190476,0.21428571428571427
61573096872644,9,1,1,en,1,india,1,7,2,26,0,26,1.6887565441488555,0.46153846153846156,12,2,3,9,26,0,26,0.2692307692307692,0.23076923076923078
61573098852520,92,1,1,fr,1,france,1,31,61,235,0,235,1.876097557283547,0.4297872340425532,101,53,47,34,235,0,234,0.27350427350427353,0.2948717948717949
61573098989704,29,1,1,pt,1,brazil,1,23,6,81,81,81,1.8370471240904493,0.37037037037037035,27,17,7,30,81,0,81,0.345679012345679,0.2716049382716049
61573101102368,29,1,1,fr,1,france,1,19,10,82,82,82,1.9750392877476166,0.32926829268292684,18,27,17,20,82,0,82,0.3170731707317073,0.32926829268292684
61573103532085,1,1,1,hi,1,india,1,0,1,2,0,2,1.0,0.5,1,0,1,0,2,0,2,0.5,0.5
61573104929262,34,1,1,pt,1,brazil,1,27,7,95,87,95,1.9176952335641577,0.37894736842105264,20,14,25,36,94,1,92,0.41304347826086957,0.21739130434782608
61573108228452,27,1,1,pt,1,brazil,1,21,6,74,43,74,1.8885606648123385,0.36486486486486486,24,10,13,27,74,0,74,0.33783783783783783,0.1891891891891892
61573108333376,21,1,1,it,1,italy,1,14,7,55,41,55,1.7129212028515632,0.5272727272727272,10,5,11,29,55,0,55,0.5272727272727272,0.2
61573111393018,30,1,1,en,1,india,1,23,7,83,65,83,1.7746292088104831,0.5060240963855421,42,11,16,14,83,0,83,0.20481927710843373,0.26506024096385544
61573112278516,29,1,1,fr,1,france,1,21,8,78,46,78,1.8757861363444293,0.358974358974359,26,9,15,28,78,0,78,0.38461538461538464,0.19230769230769232
61573112383233,26,1,1,it,1,italy,1,21,5,69,47,69,1.885282446395855,0.42028985507246375,10,16,14,29,69,0,69,0.391304347826087,0.2463768115942029
61573114108669,28,1,1,it,1,italy,1,21,7,76,0,76,1.3390886527181523,0.631578947368421,48,21,4,3,76,0,76,0.07894736842105263,0.3815789473684211
61573116313116,19,1,1,it,1,italy,1,13,6,53,4,53,1.9893390139378795,0.3018867924528302,16,12,13,12,53,0,53,0.32075471698113206,0.2830188679245283
61573116551721,25,1,1,pt,1,brazil,1,17,8,64,64,64,1.917490832652672,0.328125,21,15,8,20,64,0,64,0.3125,0.25
61573117901512,28,1,1,pt,1,brazil,1,21,7,73,57,73,1.9755547216402396,0.2876712328767123,21,18,13,21,73,0,73,0.3150684931506849,0.2191780821917808
61573119868261,19,1,1,pt,1,brazil,1,13,6,54,30,54,1.9888470945875423,0.2777777777777778,15,15,11,13,54,0,54,0.3148148148148148,0.24074074074074073
61573121848000,93,1,1,fr,1,france,1,88,5,278,0,278,1.8357585638157774,0.43884892086330934,122,36,44,76,274,4,274,0.4051094890510949,0.16423357664233576
61573123138096,32,1,1,fr,1,france,1,20,12,82,0,82,1.8582185944598266,0.36585365853658536,28,15,9,30,82,0,82,0.2926829268292683,0.32926829268292684
61573126917814,15,1,1,en,1,united states,1,9,6,41,41,41,1.5387410289524226,0.5609756097560976,23,3,3,12,41,0,41,0.0975609756097561,0.6097560975609756
61573127877600,1,1,1,en,1,india,1,1,0,4,4,4,0.8112781244591328,0.75,3,0,1,0,4,0,4,0.25,0.5
61573128238099,30,1,1,pt,1,brazil,1,23,7,80,78,80,1.8694460429104596,0.4,24,11,13,32,80,0,80,0.2375,0.3125
61573129617310,27,1,1,hi,1,india,1,21,6,74,68,74,1.549140946979936,0.5945945945945946,44,6,7,17,74,0,74,0.36486486486486486,0.25675675675675674
61573131942114,25,1,1,it,1,italy,1,18,7,69,69,69,1.9294605768932094,0.37681159420289856,15,11,26,17,69,0,69,0.34782608695652173,0.14492753623188406
61573132062403,25,1,1,it,1,italy,1,18,7,67,0,67,1.812716195686947,0.44776119402985076,9,19,9,30,67,0,67,0.47761194029850745,0.16417910447761194
61573134147587,30,1,1,fr,1,france,1,23,7,80,64,80,1.9062425555262226,0.4125,16,14,17,33,80,0,80,0.4625,0.125
61573135150612,17,1,1,fr,1,france,1,17,0,17,9,17,1.4516607643577664,0.6470588235294118,1,2,3,11,17,0,17,0.5294117647058824,0.058823529411764705
61573135240533,28,1,1,fr,1,france,1,21,7,74,74,74,1.8900907345378104,0.35135135135135137,26,10,13,25,74,0,74,0.4189189189189189,0.21621621621621623
61573135722026,2,1,1,it,1,italy,1,0,2,6,6,6,1.4591479170272448,0.5,2,1,3,0,6,0,6,0.6666666666666666,0.0
61573139860340,27,1,1,en,1,india,1,20,7,72,62,72,1.9910760598382222,0.2777777777777778,16,20,16,20,72,0,72,0.3888888888888889,0.25
61573141390378,38,1,1,fr,1,france,1,28,10,99,81,99,1.9651258081098286,0.31313131313131315,29,21,18,31,99,0,99,0.32323232323232326,0.1717171717171717
61573143011510,25,1,1,it,1,italy,1,17,8,66,36,66,1.776133024518855,0.48484848484848486,16,11,7,32,66,0,66,0.42424242424242425,0.24242424242424243
61573143206908,28,1,1,pt,1,brazil,1,20,8,77,57,77,1.9483024050936468,0.36363636363636365,28,15,15,19,77,0,76,0.3026315789473684,0.3026315789473684
61573144706564,15,1,1,en,1,india,1,9,6,38,0,38,1.6987733986687261,0.5526315789473685,6,5,6,21,38,0,38,0.3157894736842105,0.2631578947368421
61573149746621,22,1,1,fr,1,france,1,17,5,58,0,58,1.8089332576251511,0.4827586206896552,12,10,8,28,58,0,58,0.3448275862068966,0.25862068965517243
61573150689906,13,1,1,pt,1,brazil,1,13,0,36,0,36,1.9149523861784696,0.3611111111111111,11,6,6,13,36,0,36,0.3888888888888889,0.08333333333333333
61573151409659,18,1,1,en,1,united states,1,13,5,44,40,44,1.9313526581120652,0.38636363636363635,8,10,9,17,44,0,44,0.3181818181818182,0.25
61573153136488,29,1,1,fr,1,france,1,23,6,73,0,73,1.9162126778912627,0.3835616438356164,28,15,11,19,73,0,73,0.3150684931506849,0.2328767123287671
61573157499430,27,1,1,fr,1,france,1,22,5,72,37,72,1.9409294612444257,0.375,27,16,13,16,72,0,71,0.28169014084507044,0.28169014084507044
61573160110760,28,1,1,it,1,italy,1,21,7,76,18,76,1.9909703934320488,0.2894736842105263,22,19,19,16,76,0,76,0.25,0.35526315789473684
61573160396182,29,1,1,fr,1,france,1,22,7,71,53,71,1.8933541567668137,0.352112676056338,25,22,8,16,71,0,71,0.29577464788732394,0.28169014084507044
61573161129574,21,1,1,pt,1,brazil,1,14,7,50,39,50,1.7582975702780197,0.48,24,12,4,10,50,0,50,0.24,0.3
61573163020742,40,1,1,it,1,italy,1,24,16,110,23,110,1.6629802038417334,0.5636363636363636,62,21,15,12,110,0,107,0.2336448598130841,0.3644859813084112
61573163948929,28,1,1,fr,1,france,1,21,7,75,0,75,1.758133479875162,0.3466666666666667,26,25,3,21,74,1,74,0.32432432432432434,0.25675675675675674
61573164866365,1,1,1,pt,1,brazil,1,1,0,2,0,2,1.0,0.5,1,0,0,1,2,0,2,0.5,0.0
61573166365827,29,1,1,en,1,india,1,21,8,82,4,82,1.955001412179077,0.3048780487804878,25,19,13,25,82,0,82,0.2926829268292683,0.18292682926829268
61573167310365,19,1,1,it,1,italy,1,18,1,19,0,19,1.4574248814091713,0.631578947368421,2,1,4,12,19,0,19,0.5263157894736842,0.15789473684210525
61573167969034,28,1,1,fr,1,france,1,21,7,76,76,76,1.9543799254143375,0.32894736842105265,22,13,16,25,75,1,76,0.3815789473684211,0.3026315789473684
61573168045832,27,1,1,fr,1,france,1,20,7,76,0,76,1.873212154196457,0.35526315789473684,27,16,8,25,76,0,76,0.4868421052631579,0.13157894736842105
