comparison_hash,n_rows,n_users,choice_entropy_bits,dominant_choice_share,choice_a,choice_b,choice_c,choice_d,waves,languages
b4ef6507b347bad863195db760305274de212197,6,6,1.2516291673878228,0.6666666666666666,4,1,1,0,1,fr
73f3fe2094ad9c6835763a9f9cd089ed29f1ad4f,1,1,-0.0,1.0,1,0,0,0,1,en
eb56560811d452b09dfec9c40e653887ad7f79db,19,19,1.2108100261060328,0.5789473684210527,7,1,0,11,1,it
91453562f48288b868cd92c2c8b82639c1c174c1,34,34,1.2772018112022603,0.7058823529411765,2,6,2,24,1,en
bc63980eabc60f74f348b5aada2ff045c71830aa,1,1,-0.0,1.0,0,0,0,1,1,en
d5c3d0006a1336b1b6365a3e44bb58f4b2d4e6b1,16,16,1.4197367178034825,0.5625,4,3,9,0,1,hi
12e7b5dfee66d4cfed620bb8bb7cf217f66cee43,1,1,-0.0,1.0,1,0,0,0,1,en
252305e9c5af42a36ab8cf2c0be59fc68d0b8c80,14,14,1.4488156357251847,0.42857142857142855,6,6,2,0,1,pt
4e9fca08723b5e649304ff6cc4875975d38b32cd,1,1,-0.0,1.0,0,0,1,0,1,fr
643cdadaed8941781eb0744bc2da1a3bd37052c4,1,1,-0.0,1.0,0,1,0,0,1,fr
81305c123d1e90f5dc273f0cf76e5d4a6798d7d8,24,24,1.864786979256811,0.375,9,3,4,8,1,en
7a18cde80d32347a0ee67c2988e19789669a2d08,1,1,-0.0,1.0,1,0,0,0,1,en
ac15191a8b2b70d1ddc6ad20b5f00bfab6766aed,1,1,-0.0,1.0,1,0,0,0,1,fr
6fce333406b7cb03afb4c242d5ef2591cd867e11,1,1,-0.0,1.0,0,0,0,1,1,fr
3ac0a39a3f40436120d6c319d580bda3617df7dc,15,15,0.9055872616982603,0.8,0,2,1,12,1,pt
87157447457862c24869148ac9702990888bc9ef,1,1,-0.0,1.0,0,0,1,0,1,fr
35ec6debab40b6d77772debe7060b4311b084910,13,13,0.9912642605354289,0.7692307692307693,2,1,0,10,1,hi
7df763a7722947280e7834c312c461c60ba0962e,17,17,1.5739889616503064,0.5882352941176471,1,3,3,10,1,fr
d7783efc1239fc7a93d99aef27da03f49e0449fe,32,32,1.971566705606731,0.3125,6,9,7,10,1,en
eadd851a1c7b0fc4813bcb88ad0009a902e2f6bf,17,17,1.8366003408685507,0.47058823529411764,3,3,3,8,1,fr
e2f22e8298b97376bb2d6c489ab6af9cf0014072,17,17,1.7574839898128802,0.47058823529411764,8,2,5,2,1,fr
c0864b69b5249cebc0522a514d7b239414bbb0ae,1,1,-0.0,1.0,0,1,0,0,1,en
cbd3b5c21e81c6250a6439ff82a5ebff07383164,16,16,1.6697367178034825,0.5625,2,3,9,2,1,fr
639e6a9bdcf3072e89876bd9ebbae576dce51efb,14,14,1.4838317068446891,0.6428571428571429,2,1,2,9,1,hi
cd36d8370871db31c129a8356bdff846984ff53c,16,16,1.5016144718101818,0.625,2,3,1,10,1,it
94cf0f68e12409eaf151db28521da7edd5992c4f,1,1,-0.0,1.0,0,0,0,1,1,en
fcb4a9867706769a1046c891d628d83c37551b63,17,17,1.3328204045850196,0.5882352941176471,5,2,0,10,1,pt
113c01e07b6841f1e004be546519c231170f9ce2,1,1,-0.0,1.0,1,0,0,0,1,en
6992011a1bfd4d9a0855c6990f183ac7820cdcd6,14,14,0.946372935985442,0.7857142857142857,2,1,0,11,1,fr
8c833cdcf56c1e9cdf08d55b87c8c81879c01303,1,1,-0.0,1.0,0,0,0,1,1,pt
eccdca84267e77465df2a516d6fff6023a24d9ed,1,1,-0.0,1.0,0,1,0,0,1,it
9439a19f072c99bac9ff8d0ae7edb764a5ed91ac,15,15,1.8294732983598405,0.4666666666666667,3,7,3,2,1,pt
e3dac4b6bd3f7fc13577c8253d166c440699b31c,1,1,-0.0,1.0,1,0,0,0,1,en
3eaaee6948d38157c74a62d4965311b35fd52dad,30,30,1.3466027520360608,0.5333333333333333,11,3,0,16,1,en
ac8d3f07a0ebdfa17b4542d8c9e29e08c97b598a,34,34,1.7345216647797512,0.47058823529411764,8,8,16,2,1,en
b994d708ac4132815732f143dbe3cd42f7ea0860,28,28,1.655396229610068,0.5357142857142857,4,2,7,15,1,en
1b450181d55bdcc57ef60eeb4418206d14bfe6ff,1,1,-0.0,1.0,0,0,0,1,1,pt
c0c8fe4f1e5568a2106b177b693f200054a10cfb,1,1,-0.0,1.0,1,0,0,0,1,pt
2ffd0b1b6b681cc4c4db9443f0c6b0ee56ca3100,17,17,0.8343470230852537,0.8235294117647058,2,1,0,14,1,pt
5b5742dba26593e312f6400474788eecc3117089,10,10,1.5709505944546684,0.4,4,0,3,3,1,hi
b9c45a35fa58ecf20ad1fdd7f1226ee267f57fb0,13,13,1.1401156785146092,0.6923076923076923,0,1,3,9,1,pt
62d0067305e7ac4d39686e462bf286da6335adf7,1,1,-0.0,1.0,0,0,0,1,1,it
568e18a46e515253d8352a944f236ba553e2f117,30,30,1.6485062353503126,0.5666666666666667,6,4,3,17,1,en
7d33fcdbe7311bd0cb8d81a31f9286ed956446bc,2,2,1.0,0.5,0,1,0,1,1,fr
71251286445f2f52e51f73cd08c848b1f00eb3ca,1,1,-0.0,1.0,1,0,0,0,1,fr
3080505fcde8a4345fa56f543faea8afaf8abf41,14,14,1.9241743523004413,0.35714285714285715,5,2,3,4,1,it
6873be8fd9f635e458e730861f40994a513a1ca8,14,14,0.946372935985442,0.7857142857142857,2,1,0,11,1,it
d905b0b1bdcf6ce7317f079e47863fa3f4e334d3,1,1,-0.0,1.0,0,1,0,0,1,pt
1a63c72b12b436c17a198ad550e074823c3408c7,1,1,-0.0,1.0,0,0,1,0,1,hi
7415e7c4e5b3eb8e5df77d064abd3c3caa1ba677,1,1,-0.0,1.0,0,1,0,0,1,en
93b47decb536b21bf51aa326e4adcfd8e26f331d,35,35,1.576079953806928,0.5428571428571428,19,1,8,7,1,en
d9ad2684cedcf8327e880cd13ea75078ebc47bfd,1,1,-0.0,1.0,0,0,1,0,1,fr
d76ac44372ca1498a67ff218e00d9ece395f8683,29,29,1.7869930631978608,0.41379310344827586,12,6,2,9,1,en
e482d063e75436a3fdbbdac4f3fe7f917e7c897a,19,19,1.6163485660751644,0.42105263157894735,8,2,1,8,1,pt
9e34c82a2ae807c2290cac3142dd74bb699917d4,17,17,1.6183941088363931,0.5882352941176471,3,2,2,10,1,pt
ee0c90378292ec4f92b26e64f14ff968e8a3edef,28,28,1.3830637132486205,0.4642857142857143,13,12,3,0,1,en
6283991569c28a9cd8f9e60d39edec821eb8475b,32,32,1.5665036808075532,0.59375,7,3,3,19,1,en
95a18ce1f09a93a10d7f327fe335d99ddc2494f2,34,34,0.7452176541661317,0.8529411764705882,0,3,2,29,1,en
739206b06abe68e16109f29a41a0862d47932010,15,15,0.5665095065529053,0.8666666666666667,0,0,2,13,1,pt
a24c57fdf47e2c6265a3a89ff8f0452680f60524,11,11,1.2776134368191154,0.7272727272727273,1,1,1,8,1,pt
315793473406c7724980b319ee45691f5a0ea513,1,1,-0.0,1.0,1,0,0,0,1,pt
623bbee3a7da027612ed977c64f7a3c53b2423f2,1,1,-0.0,1.0,0,1,0,0,1,pt
b86992a2ed00ccc850880611bed149453e7eecf8,1,1,-0.0,1.0,1,0,0,0,1,hi
25caeab33d6def16220f149b7f2b231f2fd3e247,10,10,1.3709505944546687,0.6,2,0,2,6,1,hi
438fd5b5c9c5d5a608d696afe3a51bb54ac2a39b,33,33,1.9759583325044727,0.30303030303030304,8,6,10,9,1,en
feeaef0e2a210882198a706b3d5deaf220029374,29,29,0.574828144380386,0.896551724137931,1,0,2,26,1,en
b1a8185fb943f14aaa1eca9316dad473ab1fbe22,15,15,1.3752793655393791,0.6666666666666666,1,1,3,10,1,fr
d88b5dec7d3940f3319861700521f2ace89e6ae0,1,1,-0.0,1.0,0,1,0,0,1,hi
f428a3d67dbbaa3dccdc0693e9753eaeee6eb42f,14,14,1.610577243331642,0.5714285714285714,1,2,3,8,1,pt
19e9da81bd2fa35960f69d5db8e360de69458085,12,12,1.855388542207534,0.3333333333333333,1,4,4,3,1,fr
a514d89d3228cf5ec097d74809ccfb284918fcf7,33,33,1.6131047430791061,0.45454545454545453,12,1,15,5,1,en
308affcf9037b52e78c7923c45f4205428aecc00,1,1,-0.0,1.0,0,1,0,0,1,hi
e1d48961dba5ee4f43c24eddbda2d0e0bbb89346,1,1,-0.0,1.0,1,0,0,0,1,en
00f8941f3739afaa8ae1d40abcc2b5a1e55a2409,1,1,-0.0,1.0,0,1,0,0,1,hi
c119765922665504bdfc5c345ec13b3c282ddd40,1,1,-0.0,1.0,0,0,1,0,1,hi
62c2eb8c5e44dca4cfd6684d6b32797501ab77ee,14,14,0.946372935985442,0.7857142857142857,2,0,1,11,1,it
0e44075ef2c5ca51c4a22ff76384bcf5eff273fd,10,10,1.8464393446710154,0.4,4,1,2,3,1,fr
8c6771bf493c2ea540e177c1d6671705f8f51460,15,15,1.2309595631140104,0.6,9,5,1,0,1,fr
72522b8ca8e119fec61feb08d30d6c43cf84f6c9,12,12,1.2516291673878228,0.6666666666666666,2,2,0,8,1,pt
c2c19e4d10c9ee7c2fcab1ed0de99a3242fc4bc1,19,19,1.5229571181374093,0.631578947368421,2,3,2,12,1,fr
18f0e6849b92c0b93dc080200ced40284c66166d,31,31,1.6846248034895615,0.45161290322580644,14,4,11,2,1,en
33d3752c645d5e5c826a543a3ccf33d7ab864e8d,1,1,-0.0,1.0,0,1,0,0,1,en
35a26bb31a2a4555d93958cc4eafce16139b5fc9,1,1,-0.0,1.0,0,1,0,0,1,fr
3dca6a8aa8252de5928a5e163695935590a2f655,10,10,1.8464393446710154,0.4,2,4,3,1,1,it
835deae24e83284be9415fe9b47c3a7508379425,16,16,1.6697367178034825,0.5625,3,2,2,9,1,fr
97ba9cd3d5318252b80e0dafc84f2b4d3cf140ee,17,17,1.7921951936824643,0.35294117647058826,4,6,6,1,1,fr
0fee37dcdd7e184e91670463a0e56d1eb7f3b690,31,31,1.1589845212337104,0.7419354838709677,23,2,1,5,1,en
482789c878a278afd68ba578ed43f49b8a4f48bc,24,24,1.3918357778538644,0.5416666666666666,9,1,1,13,1,en
f1ea1a3bd4cff3b2f60dfc15d3b67ced900d149e,1,1,-0.0,1.0,1,0,0,0,1,hi
72c48d2930adb0215f00fb9d608ac31bd8243cfb,15,15,0.6998428398862386,0.8666666666666667,1,0,1,13,1,hi
e78c3b57d2bc5a0735add9388c0b06b833c21a44,13,13,0.39124356362925566,0.9230769230769231,0,1,0,12,1,hi
dc146caa3d939be2e1af0c22423aae5ccc917f7c,1,1,-0.0,1.0,1,0,0,0,1,fr
4d6a5b9f0b2090a8c58173d9afc4d60e5ce1bc96,32,32,0.8630636700495734,0.84375,2,2,1,27,1,en
d405dde6167a84bc5739de0a9c989a8dcc9528bd,1,1,-0.0,1.0,0,1,0,0,1,it
276c49b5dc883094a1f8aab64549fe89dc311b30,1,1,-0.0,1.0,1,0,0,0,1,pt
cf9469b7290c09a6145698fdf0848bd1744e393d,1,1,-0.0,1.0,0,0,1,0,1,pt
efcbe17a0c56c12f9bc95fe4bc2731cbd3c5adbe,14,14,0.946372935985442,0.7857142857142857,2,0,1,11,1,pt
02e3631ddc9ededb0ac215711dc1654053daf592,30,30,1.8464393446710154,0.4,3,6,12,9,1,en
242b82f434dc774f30e7bcc3b3faa35d5660f919,30,30,1.4591479170272448,0.5,15,0,5,10,1,en
04f584bb896b0c7815420093fb5aacad8a7e9130,19,19,1.2319817814011405,0.7368421052631579,14,2,1,2,1,hi
09fb07fc2f390d44c3fef25f70198d4b2032df25,15,15,1.158938532350277,0.6666666666666666,4,1,0,10,1,hi
7b2446efb4706ebd73b24460f9c255afcf116cb7,12,11,1.188721875540867,0.6666666666666666,3,1,0,8,1,hi
d5dcc017e5cd251818e88de750f71bfa5f69a0f7,25,25,1.756623811079363,0.48,3,12,3,7,1,en
04213a4c787aa2d2c263dde3779efa050741590b,15,15,1.2419460322060458,0.6666666666666666,3,0,2,10,1,fr
c51cba68837624fe3555c60eb7fa9330f37f5100,1,1,-0.0,1.0,0,0,0,1,1,en
28bec7a4878717c0dc3eb137c792bb801a41de71,29,29,1.750631548973961,0.5172413793103449,15,6,4,4,1,en
e5950751793de8ab21b6d7ef47ee3cd4934aba04,30,30,1.3501164488005968,0.6666666666666666,3,6,1,20,1,en
67c637513d057c2a3c81d3e812e2b41a41b1b3c4,16,16,0.6962122601251458,0.8125,3,0,0,13,1,it
79f18b0e789a5f5373944cf085216ec3475de0ff,1,1,-0.0,1.0,0,0,1,0,1,pt
4ca07ad4f0ba85afeb0fc408652493118d520218,14,14,1.7244078178625923,0.5,3,1,7,3,1,fr
410a1903083efde4d94254a9ccf6f8de38f650d3,16,16,0.3372900666170139,0.9375,0,0,1,15,1,fr
8200c116f9d1aefc97eb44f95d57b2a3a2cede22,18,18,0.6143694458867568,0.8888888888888888,1,1,0,16,1,it
23f0be2906986b2615623665cbdeab955d14447f,29,29,1.9180368238799386,0.3448275862068966,6,4,9,10,1,en
ee7fd7a40910c92b3265c43ffb878576c968f32c,35,35,1.4124193816482935,0.4857142857142857,17,1,2,15,1,en
e99671b252347fae3122d0782d550695bc204ae3,37,37,1.390110509054849,0.6756756756756757,5,5,2,25,1,en
9f2d67a19a4741c5cd04a7001d4116d52cc5a7e2,33,33,1.8522102125065076,0.42424242424242425,9,14,6,4,1,en
85e4917ba451c028134182f75d3d1c47b495c8b7,33,33,1.2795860624386364,0.6363636363636364,4,8,0,21,1,en
17c11f2b4aed166770659040a899dbc4ba0f2551,15,15,0.6998428398862386,0.8666666666666667,13,1,1,0,1,pt
96167d5a8bd282263ac548f5035f6ed62ab0a6b6,19,19,1.8474201200521745,0.42105263157894735,2,8,5,4,1,fr
0ffa4e6691127ed1f6dd50813c6c86a4a082d7ca,30,30,1.6894822670191825,0.4666666666666667,10,2,4,14,1,en
f18adc9f6e37260506015f27c681b7726b3994d7,32,32,1.8075167455986103,0.40625,11,4,4,13,1,en
86ddb204120ee2d24e26298f1ac6dc16e672653f,6,6,1.4591479170272446,0.5,2,3,1,0,1,fr
11dc4165c7315b7b2e1798121a1f765ec03a317c,16,16,1.3716407621868583,0.6875,2,11,2,1,1,fr
b3a7924199f9d6a1d4cb576763e48fcf88b7e54c,17,17,1.1400677626718572,0.7647058823529411,1,1,2,13,1,pt
3bd59044092626646aa72e34dc8cf307a1b74cfa,1,1,-0.0,1.0,0,1,0,0,1,en
d7140e1ea1b2edb740c0acb18e558bb895185709,1,1,-0.0,1.0,1,0,0,0,1,pt
58046f58ec7aee33360a01b2273d65af97d20510,11,11,1.0957952550009336,0.7272727272727273,1,0,2,8,1,fr
1b73450a2671659886cd726a779acc4ccac3a328,14,14,1.8352377453121174,0.35714285714285715,4,1,4,5,1,fr
d4bb529a35f20b1e42367d4a6bc9cd155440de7b,32,32,1.4341963645051812,0.5,13,2,1,16,1,en
239fc400f158a23e854816d46dd99f687e78c05f,25,25,1.4438561897747249,0.64,4,1,4,16,1,en
349a5f7560f4354c20ff79eded643e56446407e1,1,1,-0.0,1.0,1,0,0,0,1,fr
420ce782b3f475cccddfb3293faf7cc71bb1cae7,15,15,1.2419460322060458,0.6666666666666666,3,2,0,10,1,it
f7112d1db205b2d6601c9a68e845980662e41d01,15,15,0.9055872616982603,0.8,2,0,1,12,1,pt
785af010a97fafd917a87a482d2acbfee626db65,17,17,1.450467463408549,0.5882352941176471,5,1,1,10,1,fr
f138a9cd5d886890cc8f22e22720ae98aa16798c,16,16,1.6697367178034825,0.5625,3,2,2,9,1,pt
229a481f109f7e5159449770d588d31194278758,31,31,0.612069284012265,0.9032258064516129,1,1,1,28,1,en
b3a5110e42fd45ebdad5ab49518b8f5c8a8e377f,1,1,-0.0,1.0,1,0,0,0,1,en
2751ddc1350df218424d26870335ad5c81944857,15,15,0.35335933502142136,0.9333333333333333,0,1,0,14,1,hi
aa2d48e734d7ae806d2f5dc6b94cbf3c93c2d613,12,12,1.8250112108241772,0.4166666666666667,1,3,3,5,1,it
886f306951fe13caf495c46b26e2d75cc1149c21,12,12,0.41381685030363374,0.9166666666666666,0,1,0,11,1,hi
d20ab745d750c30696f65a860360f74cb329b723,14,14,1.610577243331642,0.5714285714285714,2,1,3,8,1,hi
52659fd910461a3c18ff5edf87d227b6248c129d,10,10,1.6854752972273346,0.5,5,1,3,1,1,hi
2778756f20dba9b1b7548c9e694e169983283867,33,33,1.81942058459073,0.3939393939393939,11,6,13,3,1,en
c291c16748b3a8448fd7fad68a7936d8fc9e9787,16,16,1.8496017527145814,0.4375,4,7,2,3,1,it
9d47aa6395ba5307226107be1f93bb9e3c8ef79a,32,32,1.8331887399951703,0.375,11,6,3,12,1,en
fb29881990d2694ae6bf2d11550d2d593e880779,32,32,1.2875996096414135,0.71875,4,2,3,23,1,en
37b8778f23a1baa3c1fc1aada315236f7a8a2178,1,1,-0.0,1.0,1,0,0,0,1,pt
4827bf9887f2130b9761e361fc9125a19c8e5f14,14,14,1.2638091738835462,0.5714285714285714,0,5,1,8,1,fr
3789101764a1b1734808f874aa2420756af2d6c8,14,14,0.7345299214394703,0.8571428571428571,1,0,1,12,1,pt
a707bf3e1afc732a50519543b4f2b4996f92a568,33,33,1.6171895725927152,0.5454545454545454,18,3,3,9,1,en
6697a00f27cbd916a579ce739203d5c202f553f3,1,1,-0.0,1.0,1,0,0,0,1,en
2f3cc7ae8eb86d5d351f6d8b15edb850b1b9ab3b,19,19,1.7229712791784755,0.5263157894736842,10,3,2,4,1,fr
4fec2d430c7028389a11c49c9940416529e6e76a,14,14,0.37123232664087563,0.9285714285714286,0,1,0,13,1,hi
7dc7a8101e188dc16ac95f2c3172db7d454efc5a,1,1,-0.0,1.0,0,0,1,0,1,hi
ce7260c141b77811164b2d53cb855603e2aec398,26,26,1.8875386446885054,0.38461538461538464,10,7,3,6,1,en
1acf20e4d482016b86890730745fda80e977622d,32,32,1.3029191407561969,0.71875,23,3,3,3,1,en
73869b86a8130795719cb88e97c1dfabf439f0e3,1,1,-0.0,1.0,1,0,0,0,1,en
2b1e0375cce381ed247e2b686add83c7d9e15277,13,13,-0.0,1.0,0,0,0,13,1,hi
e4d305904d6e9fe2b97b0f58c66eeada6a10dade,1,1,-0.0,1.0,0,0,1,0,1,en
ef8a340f683cbc77095c05ec0edb626874d13d6d,12,12,0.8112781244591328,0.75,9,3,0,0,1,fr
4e4cdc584e8edeb3e34b29501a85b7118f817039,29,29,1.6985703419282046,0.5172413793103449,15,6,6,2,1,en
cea3c7eacfacdb829385ab233ebb6d0cc90d5994,13,13,0.39124356362925566,0.9230769230769231,12,1,0,0,1,hi
59fa2d83468f696e8a8d0952402b9957e1658d0b,1,1,-0.0,1.0,1,0,0,0,1,pt
01af4296a6a4419b3b0546d526ec18a3cefdd4dd,15,15,1.9086126988727123,0.3333333333333333,5,2,3,5,1,fr
ef888ae788d82db7605bb5b0df7edc42d92ab662,32,32,1.615007032662448,0.5625,7,5,2,18,1,en
e15859643ab570ddc13d2a78c0e4e587afb7c3fc,13,13,1.5485806065228545,0.38461538461538464,5,5,3,0,1,hi
64653e84ea61f3e2a749d5b36b2f45877adfba57,35,35,1.8460656059951588,0.45714285714285713,7,7,5,16,1,en
5b08b49385d51dc0c320d55fc443705f0842428f,29,29,1.611102921305349,0.4482758620689655,11,13,1,4,1,en
4b93f57f1ff5979f3d6791424a0bbcb67d927883,1,1,-0.0,1.0,0,0,0,1,1,fr
1a5df1d8c7aa26e04b811c0288ea09d4fb599ca6,1,1,-0.0,1.0,1,0,0,0,1,en
2f8ac61ee789166b00c65915af64baaccca933e5,14,14,1.287054028118727,0.6428571428571429,2,3,0,9,1,it
230a2491fa7235969bf1679c88e0e78379ef2725,28,28,1.525655941726459,0.5357142857142857,9,1,3,15,1,en
3dc6ba589485bd9f5cdae6a6e8edb7e3f9e79639,18,18,0.6143694458867568,0.8888888888888888,1,1,0,16,1,pt
4e8d1b25584e46a30663ee18b046f64f46e0f6b6,30,30,1.6648530979805174,0.5333333333333333,2,7,5,16,1,en
4dbe080a4bc33a99b042b3f1c89347728e498de1,1,1,-0.0,1.0,0,0,1,0,1,fr
6c6a13a34a40883dde622e7aea063e8668d1af76,33,33,1.3351076658459815,0.696969696969697,3,5,2,23,1,en
96e8eb22e6f1ee994534c54e38202e3293edbfcd,1,1,-0.0,1.0,0,0,0,1,1,en
e4ba60207db4074d66c515555667e3cd438dfe8a,31,31,1.5646753190311202,0.6129032258064516,19,5,4,3,1,en
92a04bdc2586082a171c83114951e2a68b2373de,1,1,-0.0,1.0,0,0,0,1,1,en
126eded1fb9409008c7fb678c8261375744baf4e,1,1,-0.0,1.0,0,0,1,0,1,it
a649d0e1ceadcb9ac364f72169c0f6bf5b5afb6a,1,1,-0.0,1.0,1,0,0,0,1,en
2bcb74f90314b2d34f478a0d789ad28ba9a28eb4,13,13,0.7732283485249176,0.8461538461538461,0,1,1,11,1,hi
154f4a69e7c29cefcdc2e855b15c4e94c7ad5281,1,1,-0.0,1.0,1,0,0,0,1,en
297e123e611742b37dbf80d757b27f0dc6828e73,1,1,-0.0,1.0,0,1,0,0,1,it
d58e79966c5537f725b70701e253a37550321a08,1,1,-0.0,1.0,1,0,0,0,1,it
3799891c68f25edfa56b3760eb07225912d5d892,13,13,1.1401156785146092,0.6923076923076923,3,1,0,9,1,hi
830b2108a750e26d951579c0b65111a3eb2d37a9,16,16,1.4913146570363986,0.5625,1,1,9,5,1,hi
1a48fcf0db458bf9daa455d6afeb85439889da89,15,15,1.965596230357602,0.3333333333333333,3,4,3,5,1,fr
84c342265cb4866d65acc01fec9b9c9dc0b12fa1,16,16,1.6697367178034825,0.5625,9,2,3,2,1,hi
a80057df85d4e00d5d75a4b9369798b0c5245883,1,1,-0.0,1.0,0,1,0,0,1,hi
fc5018826d98712a26ab7be4ea586e8b4e9eaa70,29,29,1.8636785024022355,0.4482758620689655,13,6,5,5,1,en
ba1825e7e5c02a30c186a8edd1474929a83cfb8f,15,15,0.35335933502142136,0.9333333333333333,0,1,0,14,1,fr
a2ff27b8f3540d7bc3a825049dd49aaeaa37cfd0,32,32,1.1626878900165245,0.75,1,3,4,24,1,en
4c0fd90fadedeca194fb076fa178a4d1d252979e,20,20,1.543751954420502,0.55,6,1,11,2,1,it
8bfe25215bac44822276093146cd770b84f95e27,1,1,-0.0,1.0,0,0,0,1,1,fr
2e9c5ebbfb3ea5ea3732020f1785f03032e24c43,14,14,1.3787834934861753,0.5714285714285714,4,8,2,0,1,pt
84d51ffb59e947dca62821812777dc4fb0203702,16,16,1.5016144718101818,0.625,1,10,2,3,1,it
051d6156124abc78c049abf9cf11b4e12ef07401,1,1,-0.0,1.0,1,0,0,0,1,hi
7228617def545d63d4499e37ba636e34ff91e9ae,20,20,1.3609640474436813,0.5,2,0,8,10,1,fr
8a9a3983cc7fa0b406f5d180217cb7e7a99c9fa4,31,31,0.9629004147713269,0.6129032258064516,12,0,0,19,1,en
008ca09ebf43b61deb8cc594b8409a1e0c6b335b,16,16,1.764097655573916,0.375,3,6,1,6,1,pt
c192ceedd971a892d4ac142a654185fae404139d,26,26,1.8608941290707994,0.4230769230769231,11,6,3,6,1,en
7ee1d7b3c61e61526f90760c76191ae79b88bf60,14,14,1.0,0.5,0,7,0,7,1,pt
c85de357ad6f29f9216b9ab052d36f2450286698,20,20,1.5332062193464953,0.6,3,4,12,1,1,it
f2a77406488277f8f3ae60679c56b89300e26fbd,29,29,1.5814447879326108,0.5517241379310345,6,1,6,16,1,en
04bc6885ef96ad3caaca72b3e67e51aa92445dec,18,18,1.8016366412706075,0.3333333333333333,6,6,1,5,1,fr
c7b79ef45b22409966deb58f5d79c38c043cc823,30,30,1.349869837094248,0.6333333333333333,19,2,1,8,1,en
896d59eb7ba48f8e86d5552f5f884e122f79a6da,1,1,-0.0,1.0,1,0,0,0,1,en
2250c6bedd0d71da6ecf8fb6c487e1c6d75238a6,30,30,1.0518384134835816,0.7666666666666667,5,1,1,23,1,en
46cc29bff9decf2cf053654b7992b9a88e8ecddd,28,28,1.2870540281187268,0.6428571428571429,18,6,0,4,1,en
0f0e75f99a1d1e4ef3ccd301ba3e4b7aaa64249a,28,28,1.6105772433316423,0.5714285714285714,16,4,6,2,1,en
efd5058952219324912e8200dbf7fd98db77683b,1,1,-0.0,1.0,1,0,0,0,1,pt
b3b03cfb84338c32fe2107b1c2a93633b6c7382a,19,19,1.6382533594712747,0.5263157894736842,10,5,3,1,1,fr
61d5eb06ec1c28a8b2e63324f944730f24eb4f12,37,37,1.3901565632085202,0.5135135135135135,15,2,1,19,1,en
267d56a9a2f2edff802331286c348e0069b7caca,1,1,-0.0,1.0,1,0,0,0,1,en
3d85eb0f58acd3b78b2c97265a9c51d53e3a3e1e,31,31,1.9918642483937377,0.2903225806451613,7,7,8,9,1,en
55788f918209dd4d73275131595656a74cb5cacd,17,17,1.6589797521242051,0.5294117647058824,4,1,3,9,1,pt
2edaaf3752c7de89d50bf1564dc11d0352e130fd,36,36,1.6322005193001534,0.5833333333333334,21,5,4,6,1,en
